"""Company History""",&quot;История на фирмата&quot;,
"""Team Members"" or ""Management""","""Членове на екип"" или ""Управление""",
&lt;head&gt; HTML,HTML,
**Currency** Master,** Валути ** Главна,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Проект; 1 - Подаден; 2 - Отменен,
0 is highest,0 е най-висока,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Списъкът на ресурсите, които Client App ще имат достъп до, след като потребителят го позволява. <br> напр проект",
A symbol for this currency. For e.g. $,Символ за тази валута. Например $,
A4,A4,
ALL,Всички,
API,API,
API Access,API достъп,
API Endpoint,API Endpoint,
API Endpoint Args,API Endpoint Args,
API Key,API Key,
API Method,Метод на API,
API Secret,API Secret,
ASC,ASC,
About Us Settings,За нас Настройки,
About Us Team Member,За нас Член на Екип,
Access Key ID,Ключ за достъп,
Access Key Secret,Тайната на ключовия достъп,
Access Log,Дневник на достъпа,
Access Token,Токен за достъп,
Access Token URL,URL адрес за достъп до тон,
Account,Сметка,
Accounts Manager,Роля Мениджър на 'Сметки',
Accounts User,Роля Потребител на 'Сметки',
Action,Действие,
Action / Route,Действие / Маршрут,
Action Timeout (Seconds),Изчакване за действие (секунди),
Action Type,Тип на действието,
Actions,Действия,
Active,Активен,
Active Domains,Активни домейни,
Activity Log,Журнал на дейностите,
Add Container,Добавете контейнер,
Add Custom Tags,Добавете персонализирани маркери,
Add Gray Background,Добавете сив фон,
Add Signature,Добави подпис,
Add Total Row,Добави сумарен ред,
Add Unsubscribe Link,Добави препратка за отписване,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Добавен в HTML &lt;главата&gt; раздел на уеб страницата, използвани главно за проверка сайт и SEO",
Additional Permissions,Допълнителни Права,
Address,Адрес,
Address And Contacts,Адрес и контакти,
Address Line 1,Адрес - Ред 1,
Address Line 2,Адрес - Ред 2,
Address Template,Шаблон за адрес,
Address Title,Адрес Заглавие,
Address Type,Вид Адрес,
Address and other legal information you may want to put in the footer.,Адрес и друга правна информация които може да искате да поставите.,
Addresses And Contacts,Адреси и контакти,
Adds a custom field to a DocType,Добавя потребителско поле към DocType,
Administrator,Администратор,
Advanced,Разширени,
Advanced Control,Разширено управление,
Advanced Settings,Разширени настройки,
After Cancel,След Отказ,
After Delete,След изтриване,
After Save,След Запазване,
After Save (Submitted Document),След запазване (изпратен документ),
After Submit,След Изпращане,
Aggregate Function Based On,Обобщена функция въз основа на,
Alert,Тревога,
Align Labels to the Right,Подравнете етикетите надясно,
Align Right,Подравнете вдясно,
All,всичко,
All Day,Цял Ден,
Allocated To,Разпределена за,
Allot Points To Assigned Users,Отделяйте точки на назначени потребители,
Allow,Позволи,
Allow Auto Repeat,Разрешаване на автоматично повторение,
Allow Bulk Edit,Разрешаване на групово редактиране,
Allow Comments,Разрешаване на Коментари,
Allow Consecutive Login Attempts ,Позволете опити за последователни влизания,
Allow Delete,Разрешаване на  Изтриване,
Allow Dropbox Access,Разрешаване на  Dropbox Access,
Allow Guest,Разрешаване на гост,
Allow Guest to View,Позволете гости да преглеждат,
Allow Guests to Upload Files,Разрешаване на гостите да качват файлове,
Allow Import (via Data Import Tool),Позволете Import (чрез Data Tool Import),
Allow Incomplete Forms,Разрешаване на Непълни формуляри,
Allow Login After Fail,Разрешаване на влизането след неуспех,
Allow Login using Mobile Number,Да се разреши влизането чрез мобилен номер,
Allow Login using User Name,Разрешаване на влизането чрез потребителско име,
Allow Modules,Разрешаване на модули,
Allow Print,Разрешаване на печат,
Allow Print for Cancelled,Разрешаване на  печат за Отменен документ,
Allow Print for Draft,Разрешаване на печат за чернова,
Allow Read On All Link Options,Допускане на прочитане на всички опции на връзката,
Allow Rename,Разрешаване на Преименуване,
Allow Roles,Разрешаване на Роли,
Allow Self Approval,Позволете само одобрение,
Allow approval for creator of the document,Позволете одобрение за създателя на документа,
Allow document creation via Email,Разрешаване на създаването на документи по имейл,
Allow events in timeline,Разрешаване на събития в хронологията,
Allow in Quick Entry,Оставете в Quick Entry,
Allow on Submit,Разрешаване на Изпращане,
Allow only one session per user,Оставя само една сесия на потребител,
Allow page break inside tables,Разрешаване на пренос на страница вътре в таблица,
Allow saving if mandatory fields are not filled,Разрешаване на запис ако задължителни полета не са попълнени,
Allow user to login only after this hour (0-24),Позволи на потребителя да се логнете само след този час (0-24),
Allow user to login only before this hour (0-24),Позволи на потребителя да се логнете само преди този час (0-24),
Allowed,Разрешен,
Allowed In Mentions,Разрешено в споменавания,
"Always add ""Draft"" Heading for printing draft documents",Винаги се добави &quot;Проект&quot; Функция за печат проекти на документи,
Amend,Промени,
Amended From,Променен от,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Икона на файл с разширение .ico. Трябва да бъде 16 х 16 пиксела. Образувани с помощта на уеб иконата генератор. [favicon-generator.org],
Analytics,анализ,
Annual,Годишен,
Anonymous,анонимен,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Могат да се използват всякакви базирани на низове принтери. Писането на сурови команди изисква познаване на родния език на принтера, предоставено от производителя на принтера. Моля, вижте ръководството за разработчици, предоставено от производителя на принтера за това как да напишете родните си команди. Тези команди се изобразяват на сървърната страна с помощта на Jinja Templating Language.",
App,App,
App Access Key,App на ключа за достъп,
App Client ID,App Client ID,
App Client Secret,App Client Secret,
App Name,App име,
App Secret Key,App Secret Key,
Append Emails to Sent Folder,Добавете имейли към изпратената папка,
Append To,Добавяне към,
Applicable For,Подходящ за,
Application Logo,Лого на приложението,
Application Name,Име на приложението,
Application Version,Версия на приложението,
Applied On,Приложен на,
Apply Document Permissions,Прилагане на разрешения за документи,
Apply Only Once,Прилагайте само веднъж,
Apply Strict User Permissions,Прилагане на строги потребителски разрешения,
Apply To All Document Types,Прилага се към всички типове документи,
Apply this rule if the User is the Owner,"Прилага се, ако потребителят е собственик",
Apply this rule only once per document,Прилагайте това правило само веднъж на документ,
Appreciation,признателност,
Archived,Архивиран,
Arial,Arial,
Assign Condition,Присвойте състояние,
Assign To Users,Присвояване на потребителите,
Assigned,Присвоен,
Assigned By,Възложен от,
Assigned By Full Name,Възложени от Пълно име,
Assignment,назначение,
Assignment Completed,Прехвърляне Завършен,
Assignment Days,Дни на присвояване,
Assignment Rule,Правило за възлагане,
Assignment Rule Day,Ден на правилото за възлагане,
Assignment Rule User,Потребителско правило за присвояване,
Assignment Rules,Правила за възлагане,
Assignments,Задачи,
Attach,Прикрепете,
Attach Image,Прикрепете Изображение,
Attach Print,Прикрепете Print,
Attached File,Прикачен файл,
Attached To DocType,Прикрепен към DocType,
Attached To Field,Прикачен към поле,
Attached To Name,Приложен към име,
Attachment,Приложен файл,
Attachment Limit (MB),Attachment Limit (MB),
Attachment Link,Прикачена връзка,
Attachment Removed,прикаченият файл е премахнат,
Attachments,Приложения,
Auth URL Data,Автоматични данни за URL адресите,
Authentication,заверка,
Author,автор,
Authorization Code,Оторизационен код,
