"""Company History""",&quot;কোম্পানি ইতিহাস&quot;,
"""Team Members"" or ""Management""",&quot;টিম সদস্য&quot; বা &quot;ম্যানেজমেন্ট&quot;,
&lt;head&gt; HTML,&lt;Head&gt; এইচটিএমএল,
**Currency** Master,** ** মুদ্রা মাস্টার,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - খসড়া; 1 - জমা হয়েছে; 2 - বাতিল হয়েছে,
0 is highest,0 সর্বোচ্চ,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,সম্পদের একটি তালিকা যা ক্লায়েন্ট অ্যাপ ব্যবহারকারী এটি করতে সক্ষম হবেন পরে অ্যাক্সেস থাকবে. <br> যেমন প্রকল্প,
A symbol for this currency. For e.g. $,এই মুদ্রার জন্য একটি প্রতীক. যেমন $ জন্য,
A4,A4,
ALL,সব,
API,এপিআই,
API Access,এপিআই অ্যাক্সেস,
API Endpoint,API এন্ডপয়েন্ট,
API Endpoint Args,API এন্ডপয়েন্ট আর্গস,
API Key,API কী,
API Method,এপিআই পদ্ধতি,
API Secret,এপিআই সিক্রেট,
ASC,উচ্চক্রমে,
About Us Settings,আমাদের সেটিংস সম্পর্কে,
About Us Team Member,আমাদের টিম সদস্য সম্পর্কে,
Access Key ID,অ্যাক্সেস কী আইডি,
Access Key Secret,কী গোপন অ্যাক্সেস,
Access Log,অ্যাক্সেস লগ,
Access Token,অ্যাক্সেস টোকেন,
Access Token URL,অ্যাক্সেস টোকেন URL,
Account,হিসাব,
Accounts Manager,হিসাবরক্ষক ব্যবস্থাপক,
Accounts User,ব্যবহারকারীর অ্যাকাউন্ট,
Action,কর্ম,
Action / Route,ক্রিয়া / রুট,
Action Timeout (Seconds),অ্যাকশন সময়সীমা (সেকেন্ড),
Action Type,ক্রিয়া প্রকার,
Actions,পদক্ষেপ,
Active,সক্রিয়,
Active Domains,সক্রিয় ডোমেন,
Activity Log,কার্য বিবরণ,
Add Container,ধারক যুক্ত করুন,
Add Custom Tags,কাস্টম ট্যাগ যুক্ত করুন,
Add Gray Background,গ্রে ব্যাকগ্রাউন্ড যুক্ত করুন,
Add Signature,সাক্ষর যুক্ত,
Add Total Row,মোট সারি যোগ,
Add Unsubscribe Link,যোগ আনসাবস্ক্রাইব লিঙ্ক,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",&lt;Head&gt; যোগ এইচটিএমএল ওয়েব পৃষ্ঠার বিভাগে প্রাথমিকভাবে ওয়েবসাইটে যাচাই এবং এসইও জন্য ব্যবহৃত,
Additional Permissions,অতিরিক্ত অনুমতির,
Address,ঠিকানা,
Address And Contacts,ঠিকানা এবং পরিচিতি,
Address Line 1,ঠিকানা লাইন 1,
Address Line 2,ঠিকানা লাইন ২,
Address Template,ঠিকানা টেমপ্লেট,
Address Title,ঠিকানা শিরোনাম,
Address Type,ঠিকানা টাইপ করুন,
Address and other legal information you may want to put in the footer.,ঠিকানা এবং অন্যান্য আইনগত তথ্য আপনি পাদচরণ একটি বার্তা দেখাতে চাইবেন.,
Addresses And Contacts,ঠিকানা এবং পরিচিতি,
Adds a custom field to a DocType,একটি DOCTYPE একটি কাস্টম ক্ষেত্র যোগ,
Administrator,প্রশাসক,
Advanced,অগ্রসর,
Advanced Control,উন্নত কন্ট্রোল,
Advanced Settings,উন্নত সেটিংস,
After Cancel,বাতিল করার পরে,
After Delete,মুছুন পরে,
After Save,সংরক্ষণের পরে,
After Save (Submitted Document),সংরক্ষণের পরে (জমা দেওয়া দস্তাবেজ),
After Submit,জমা দেওয়ার পরে,
Aggregate Function Based On,সমষ্টিগত ফাংশন ভিত্তিক,
Alert,সতর্কতা,
Align Labels to the Right,লেবেলগুলি ডানদিকে সন্নিবেশ করান,
Align Right,ডানে যাও,
All,সব,
All Day,সারাদিন,
Allocated To,বরাদ্দ,
Allot Points To Assigned Users,নির্ধারিত ব্যবহারকারীদের জন্য পয়েন্ট বরাদ্দ করুন,
Allow,অনুমতি দিন,
Allow Auto Repeat,স্বতঃ পুনরাবৃত্তি করার অনুমতি দিন,
Allow Bulk Edit,বাল্ক সম্পাদনা করার অনুমতি দিন,
Allow Comments,মন্তব্য করার অনুমতি দিন,
Allow Consecutive Login Attempts ,অনুলিপি লগইন প্রচেষ্টা অনুমোদন,
Allow Delete,মুছে মঞ্জুরি,
Allow Dropbox Access,ড্রপবক্স ব্যবহারের অনুমতি,
Allow Guest,অতিথিকে অনুমতি দিন,
Allow Guest to View,দেখার জন্য অতিথি অনুমতি দিন,
Allow Guests to Upload Files,অতিথিদের ফাইল আপলোড করার অনুমতি দিন,
Allow Import (via Data Import Tool),আমদানি মঞ্জুরি দিন (ডেটা আমদানি টুল এর মাধ্যমে),
Allow Incomplete Forms,অসম্পূর্ণ ফরম মঞ্জুর করুন,
Allow Login After Fail,ব্যর্থ হলে লগইন করার অনুমতি দিন,
Allow Login using Mobile Number,লগইন মোবাইল নম্বর ব্যবহার করার অনুমতি দেয়,
Allow Login using User Name,ব্যবহারকারী নাম ব্যবহার করে লগইন করার অনুমতি দিন,
Allow Modules,মডিউলগুলির অনুমতি দিন,
Allow Print,প্রিন্ট করার অনুমতি দিন,
Allow Print for Cancelled,বাতিলকৃত জন্য প্রিন্ট করার অনুমতি দিন,
Allow Print for Draft,খসড়া প্রিন্ট মঞ্জুর করুন,
Allow Read On All Link Options,সমস্ত লিঙ্ক বিকল্প পড়ুন পড়ুন,
Allow Rename,পুনঃনামকরণ মঞ্জুরি,
Allow Roles,ভূমিকা মঞ্জুর করুন,
Allow Self Approval,স্ব অনুমোদন মঞ্জুরি,
Allow approval for creator of the document,নথি স্রষ্টার জন্য অনুমতি অনুমোদন,
Allow document creation via Email,ইমেলের মাধ্যমে নথি তৈরির অনুমতি দিন,
Allow events in timeline,সময়রেখার ঘটনা অনুমতি দিন,
Allow in Quick Entry,কুইক এণ্ট্রিতে অনুমতি দিন,
Allow on Submit,জমা দিন মঞ্জুরি দিন,
Allow only one session per user,ব্যবহারকারী প্রতি শুধুমাত্র এক অধিবেশন মঞ্জুর করুন,
Allow page break inside tables,টেবিল ভিতরে পৃষ্ঠা বিরতি মঞ্জুর করুন,
Allow saving if mandatory fields are not filled,যদি বাধ্যতামূলক ক্ষেত্র পূরণ করা হয় না সংরক্ষণ করার অনুমতি দিন,
Allow user to login only after this hour (0-24),ব্যবহারকারী শুধুমাত্র এই ঘন্টা পর লগইন করতে (0-24) অনুমতি দিন,
Allow user to login only before this hour (0-24),ব্যবহারকারী শুধুমাত্র এই ঘন্টা আগে লগইন করতে (0-24) অনুমতি দিন,
Allowed,প্রেজেন্টেশন,
Allowed In Mentions,অনুমোদিত অনুমোদিত,
"Always add ""Draft"" Heading for printing draft documents",সর্বদা মুদ্রণ খসড়া নথি জন্য শিরোলেখ &quot;খসড়া&quot; যোগ,
Amend,সংশোধন করা,
Amended From,সংশোধিত,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico এক্সটেনশন সঙ্গে একটি আইকন ফাইল. 16 X 16 px এর হতে হবে. একটি ফেভিকন জেনারেটর ব্যবহার করে তৈরি করা. [Favicon-generator.org],
Analytics,বৈশ্লেষিক ন্যায়,
Annual,বার্ষিক,
Anonymous,নামবিহীন,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,যে কোনও স্ট্রিং-ভিত্তিক প্রিন্টার ভাষা ব্যবহার করা যেতে পারে। কাঁচা কমান্ড লিখতে মুদ্রক প্রস্তুতকারকের দ্বারা সরবরাহ করা প্রিন্টারের স্থানীয় ভাষার জ্ঞান প্রয়োজন। প্রিন্টার প্রস্তুতকারকের দ্বারা তাদের স্থানীয় কমান্ডগুলি কীভাবে লিখতে হয় তার জন্য সরবরাহকারী বিকাশকারী ম্যানুয়ালটি দেখুন। এই কমান্ডগুলি জিনজা টেম্প্লেটিং ভাষা ব্যবহার করে সার্ভার সাইডে রেন্ডার করা হয়।,
App,অ্যাপ,
App Access Key,অ্যাপ্লিকেশন অ্যাক্সেস কী,
App Client ID,অ্যাপ ক্লায়েন্ট আইডি,
App Client Secret,অ্যাপ ক্লায়েন্ট সিক্রেট,
App Name,অ্যাপ নাম,
App Secret Key,অ্যাপ সিক্রেট কী,
Append Emails to Sent Folder,প্রেরিত ফোল্ডারে ইমেল যুক্ত করুন,
Append To,লিখবেন,
Applicable For,জন্য প্রযোজ্য,
Application Logo,অ্যাপ্লিকেশন লোগো,
Application Name,আবেদনের নাম,
Application Version,অ্যাপ্লিকেশন সংস্করণ,
Applied On,প্রয়োগ হয়েছে,
Apply Document Permissions,ডকুমেন্ট অনুমতি প্রয়োগ করুন,
Apply Only Once,একবার প্রয়োগ করুন,
Apply Strict User Permissions,কঠোর ব্যবহারকারীর অনুমতি প্রয়োগ,
Apply To All Document Types,সমস্ত নথি প্রকারের জন্য প্রয়োগ করুন,
Apply this rule if the User is the Owner,ব্যবহারকারী মালিক যদি এই নিয়ম প্রযোজ্য,
Apply this rule only once per document,এই নীতিটি প্রতি নথি প্রতি একবার প্রয়োগ করুন,
Appreciation,রসাস্বাদন,
Archived,আর্কাইভ করা,
Arial,আড়িয়াল,
Assign Condition,শর্ত বরাদ্দ করুন,
Assign To Users,ব্যবহারকারীদের বরাদ্দ করুন,
Assigned,বরাদ্দ,
Assigned By,দ্বারা নির্ধারিত হয়,
Assigned By Full Name,পূর্ণ নাম দ্বারা নিয়োগ,
Assignment,কাজ,
Assignment Completed,অ্যাসাইনমেন্ট সম্পন্ন,
Assignment Days,অ্যাসাইনমেন্টের দিনগুলি,
Assignment Rule,নিয়োগের বিধি,
Assignment Rule Day,নিয়োগের বিধি দিবস,
Assignment Rule User,নিয়োগের বিধি ব্যবহারকারী,
Assignment Rules,নিয়োগের বিধি,
Assignments,অ্যাসাইমেন্ট,
Attach,জোড়া,
Attach Image,চিত্র সংযুক্ত,
Attach Print,প্রিন্ট সংযুক্ত,
Attached File,সংযুক্ত ফাইল,
Attached To DocType,DOCTYPE সংযুক্ত,
Attached To Field,সংযুক্ত ক্ষেত্র থেকে,
Attached To Name,নাম সংযুক্ত,
Attachment,ক্রোক,
Attachment Limit (MB),সংযুক্তি সীমা (মেগাবাইট),
Attachment Link,সংযুক্তি লিঙ্ক,
Attachment Removed,সংযুক্তি সরানো হয়েছে,
Attachments,সংযুক্তি,
Auth URL Data,Auth URL ডেটা,
Authentication,প্রমাণীকরণ,
Author,লেখক,
Authorization Code,অনুমোদন কোড,
Authorize API Indexing  Access,অনুমোদিত API সূচীকরণ অ্যাক্সেস,
Authorize Google Calendar Access,গুগল ক্যালেন্ডার অ্যাক্সেস অনুমোদিত করুন,
Authorize Google Contacts Access,গুগল পরিচিতি অ্যাক্সেস অনুমোদন,
Authorize Google Drive Access,গুগল ড্রাইভ অ্যাক্সেস অনুমোদন,
Authorize URL,অনুমোদিত URL,
Authorized,অনুমোদিত,
Auto,অটো,
Auto Email Report,অটো ইমেল প্রতিবেদন,
Auto Name,অটো নাম,
Auto Repeat,অটো পুনরাবৃত্তি,
Auto Reply Message,স্বয়ংক্রিয় উত্তর বার্তা,
Automatically Assign Documents to Users,ব্যবহারকারীদের কাছে ডকুমেন্টগুলি স্বয়ংক্রিয়ভাবে বরাদ্দ করুন,
Automation,স্বয়ংক্রিয়তা,
Avatar,অবতার,
Average,গড়,
