"""Company History""","""Istorija firme""",
"""Team Members"" or ""Management""","""Članovi tima"" ili ""menadzment""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,** Valuta ** Master,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Na cekanju; 1 - Proslijedjen; 2 - Otkazan,
0 is highest,0 je najviši,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Lista resursa koji će klijent aplikacija ima pristup nakon što korisnik dozvoljava. <br> npr projekta,
A symbol for this currency. For e.g. $,Simbol za ovu valutu. Kao npr. $,
A4,A4,
ALL,SVE,
API,API,
API Access,Pristup API-ju,
API Endpoint,API Endpoint,
API Endpoint Args,API Endpoint Args,
API Key,API Key,
API Method,API metoda,
API Secret,API Secret,
ASC,ASC,
About Us Settings,"""O nama"" podešavanja",
About Us Team Member,"""O nama"" član tima",
Access Key ID,Access Key ID,
Access Key Secret,Pristupna tajna ključa,
Access Log,Dnevnik pristupa,
Access Token,Access Token,
Access Token URL,Pristup URL-u žetona,
Account,Konto,
Accounts Manager,Računi Manager,
Accounts User,Računi korisnika,
Action,Akcija,
Action / Route,Akcija / ruta,
Action Timeout (Seconds),Vreme prekida akcije (sekunde),
Action Type,Tip radnje,
Actions,Akcije,
Active,Aktivan,
Active Domains,aktivna domena,
Activity Log,Dnevnik aktivnosti,
Add Container,Dodaj kontejner,
Add Custom Tags,Dodajte prilagođene oznake,
Add Gray Background,Dodajte sivu pozadinu,
Add Signature,Dodaj Potpis,
Add Total Row,Dodaj ukupno redaka,
Add Unsubscribe Link,Dodaj link za odjavu,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Dodano HTML u &lt;head&gt; odjeljku web stranice, prvenstveno koristi za web stranice verifikaciju i SEO",
Additional Permissions,Dodatne dozvole,
Address,Adresa,
Address And Contacts,Adresa i kontakti,
Address Line 1,Adresa - linija 1,
Address Line 2,Adresa - linija 2,
Address Template,Predložak adrese,
Address Title,Naziv adrese,
Address Type,Tip adrese,
Address and other legal information you may want to put in the footer.,Adresa i druge pravne informacije koje možda želite staviti u podnožje.,
Addresses And Contacts,Adrese i kontakti,
Adds a custom field to a DocType,Dodaje prilagođeno polje u vrstu dokumenta,
Administrator,Administrator,
Advanced,Napredan,
Advanced Control,Napredna kontrola,
Advanced Settings,Napredne postavke,
After Cancel,Nakon otkaza,
After Delete,Nakon brisanja,
After Save,Nakon Save,
After Save (Submitted Document),Nakon spremanja (poslani dokument),
After Submit,Nakon slanja,
Aggregate Function Based On,Zbirna funkcija na osnovu,
Alert,Upozorenje,
Align Labels to the Right,Poravnajte oznake na desno,
Align Right,Poravnajte udesno,
All,Sve,
All Day,Cijeli dan,
Allocated To,Dodijeljena,
Allot Points To Assigned Users,Dodijelite bodove dodijeljenim korisnicima,
Allow,Dopustiti,
Allow Auto Repeat,Dopusti automatsko ponavljanje,
Allow Bulk Edit,Dozvolite Bulk Uredi,
Allow Comments,Dopustite Komentari,
Allow Consecutive Login Attempts ,Dozvoli konusne pokušaje za prijavljivanje,
Allow Delete,Dopustite Delete,
Allow Dropbox Access,Dopusti pristup Dropbox,
Allow Guest,Dozvoli gostu,
Allow Guest to View,Dozvolite gost Pogledaj,
Allow Guests to Upload Files,Dozvoli gostima da učitavaju datoteke,
Allow Import (via Data Import Tool),Dozvoljava uvoz (preko Data Import Tool),
Allow Incomplete Forms,Dozvolite Nepotpune Obrasci,
Allow Login After Fail,Dozvoli prijavu nakon neuspjeha,
Allow Login using Mobile Number,Dozvolite Prijava koristeći Broj mobilnog,
Allow Login using User Name,Dozvoli Login pomoću korisničkog imena,
Allow Modules,Dozvoli module,
Allow Print,Dozvolite Print,
Allow Print for Cancelled,Dozvolite Ispis za Otkazano,
Allow Print for Draft,Dozvolite Ispis za Nacrt,
Allow Read On All Link Options,Dozvoli čitanje svih opcija veze,
Allow Rename,Dopusti preimenovanje,
Allow Roles,Dozvolite Uloge,
Allow Self Approval,Dozvolite samopouzdanje,
Allow approval for creator of the document,Dozvoli odobrenje za kreatora dokumenta,
Allow document creation via Email,Omogućite stvaranje dokumenata putem e-pošte,
Allow events in timeline,Dozvoli događaje u vremenskom okviru,
Allow in Quick Entry,Dozvoli u brzom unosu,
Allow on Submit,Dopusti pri potvrdi,
Allow only one session per user,Dopustite samo jedna sjednica po korisniku,
Allow page break inside tables,Dozvolite prijelom stranice unutar tablice,
Allow saving if mandatory fields are not filled,Dozvolite uštede ako obavezna polja nisu popunjena,
Allow user to login only after this hour (0-24),Dopustite korisniku da se prijavi tek nakon ovoliko sati (0-24),
Allow user to login only before this hour (0-24),Dopustite korisniku da se prijaviti samo prije ovoliko sati (0-24),
Allowed,Dopušteno,
Allowed In Mentions,Dopušteno u napomenama,
"Always add ""Draft"" Heading for printing draft documents",Uvek dodajte &quot;Nacrt&quot; Heading za štampanje nacrta dokumenata,
Amend,Ispraviti,
Amended From,Izmijenjena Od,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Ikona datoteke s ekstenzijom .ico. Trebalo bi biti 16 x 16 px. Generira putem loše generatora. [favicon-generator.org],
Analytics,Analitika,
Annual,godišnji,
Anonymous,Anonimno,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,Mogu se koristiti bilo koji jezici pisača na bazi niza. Za pisanje neobrađenih naredbi potrebno je znanje izvornog jezika pisača koje nudi proizvođač pisača. Pogledajte upute za razvojne programere proizvođača pisača o pisanju izvornih naredbi. Ove naredbe se prikazuju na strani poslužitelja koristeći jezik Jinja Templating Language.,
App,App,
App Access Key,App Access Key,
App Client ID,App ID klijenta,
App Client Secret,App Klijent Secret,
App Name,App Naziv,
App Secret Key,App tajni ključ,
Append Emails to Sent Folder,Dodajte e-poštu u poslanu mapu,
Append To,Doda,
Applicable For,primjenjivo za,
Application Logo,Logotip aplikacije,
Application Name,Naziv aplikacije,
Application Version,Verzija aplikacije,
Applied On,Primijenjeno na,
Apply Document Permissions,Primijeni dozvole za dokument,
Apply Only Once,Primijeni samo jednom,
Apply Strict User Permissions,Nanesite Strogi Dozvole korisnika,
Apply To All Document Types,Primjeni na sve vrste dokumenata,
Apply this rule if the User is the Owner,Nanesite ovo pravilo ako je Korisnik je vlasnik,
Apply this rule only once per document,Primijenite ovo pravilo samo jednom na dokument,
Appreciation,Zahvalnost,
Archived,Arhivirani,
Arial,Arial,
Assign Condition,Dodijeli stanje,
Assign To Users,Dodijeli korisnicima,
Assigned,Dodijeljeno,
Assigned By,Dodijeljen od strane,
Assigned By Full Name,Dodijeljen od strane Ime i prezime,
Assignment,zadatak,
Assignment Completed,Dodjela Završena,
Assignment Days,Dani dodjele,
Assignment Rule,Pravilo dodeljivanja,
Assignment Rule Day,Dan pravila o dodjeli,
Assignment Rule User,Korisnik pravilo pravila,
Assignment Rules,Pravila dodjele,
Assignments,Zadaci,
Attach,Priložiti,
Attach Image,Priložiti slike,
Attach Print,Priložiti Print,
Attached File,Priložena datoteka,
Attached To DocType,U prilogu vrstu dokumenata,
Attached To Field,Priloženo u polje,
Attached To Name,U prilogu naziv,
Attachment,Vezanost,
Attachment Limit (MB),Prilog Limit (MB),
Attachment Link,Prilog Link,
Attachment Removed,Prilog Uklonjeno,
Attachments,Prilozi,
Auth URL Data,Auth URL podaci,
Authentication,autentifikaciju,
Author,autor,
Authorization Code,kod autorizacije,
Authorize API Indexing  Access,Odobri pristup indeksiranju API-ja,
Authorize Google Calendar Access,Autorizirajte pristup Google kalendaru,
Authorize Google Contacts Access,Autorizirajte pristup Google kontaktima,
Authorize Google Drive Access,Autorizirajte pristup Google disku,
Authorize URL,Ovlastite URL adresu,
Authorized,ovlašćen,
Auto,auto,
Auto Email Report,Auto-mail Report,
Auto Name,Auto Ime,
Auto Repeat,Auto Repeat,
Auto Reply Message,Auto poruka odgovora,
Automatically Assign Documents to Users,Automatski dodijeli dokumente korisnicima,
Automation,Automatizacija,
Avatar,Avatar,
Average,Prosječno,
Awaiting Password,Čekanje lozinke,
Awaiting password,čeka lozinke,
BCC,BCC,
Background Color,Boja pozadine,
Background Workers,Pozadina Radnici,
Backup Details,Detalji sigurnosne kopije,
Backup Files,Sigurnosne kopije datoteka,
Backup Folder ID,ID sigurnosne kopije mape,
Backup Folder Name,Naziv sigurnosne kopije mape,
Backup Frequency,backup Frequency,
Backup public and private files along with the database.,Napravite sigurnosnu kopiju javnih i privatnih datoteka zajedno s bazom podataka.,
Backups,Rezervne kopije,
Banner,Baner,
Banner HTML,HTML baner,
Banner Image,Slika banera,
Banner is above the Top Menu Bar.,Baner je iznad gornjeg menija.,
Bar,Bar,
Barcode,Barkod,
Base Distinguished Name (DN),Base Distinguished Name (DN),
Base URL,Baza URL,
Based On,Na osnovu,
Based on Field,Na osnovu polja,
Based on Permissions For User,Na osnovu Dozvole za korisnika,
Basic,Osnovni,
Before Cancel,Prije odustajanja,
Before Delete,Prije brisanja,
Before Insert,Prije umetanja,
Before Save,Pre Save,
Before Save (Submitted Document),Prije spremanja (poslani dokument),
Before Submit,Prije slanja,
Beginner,početnik,
Beta,beta,
Billing,Naplata,
Bio,Bio,
Birth Date,Datum rođenja,
Block Module,Blok modula,
Block Modules,Blok Moduli,
Blocked,blokiran,
Blog Category,Blog kategorija,
Blog Intro,Blog intro,
Blog Introduction,Blog uvod,
Blog Post,Blog članak,
Blog Settings,Blog podešavanja,
Blog Title,Naslov bloga,
Blogger,Bloger,
Blue,Plava boja,
Bold,Hrabro,
Bot,Bot,
Bottom,Dno,
Bounced,Odbijeno,
Brand,Brend,
Brand HTML,Brend HTML,
Brand Image,imidž brenda,
Breadcrumbs,Breadcrumbs,
Browser,Pretraživač,
Browser Version,Verzija pregledača,
Brute Force Security,Brute Force Security,
Bucket Name,Naziv segmenta,
Bulk Update,Bulk Update,
Button,Dugme,
Button Gradients,Button Gradients,
Button Rounded Corners,Dugme zaobljeni kutovi,
Button Shadows,Button Shadows,
Bypass Restricted IP Address Check If Two Factor Auth Enabled,Zaobiđite ograničenu IP adresu Provjerite je li omogućena autorizacija s dva faktora,
Bypass Two Factor Auth for users who login from restricted IP Address,Bypass Two Factor Auth za korisnike koji se prijavljuju iz ograničene IP adrese,
Bypass restricted IP Address check If Two Factor Auth Enabled,Bypass ograničena IP adresa provera Ako je Two Factor Auth omogućen,
CC,CC,
CSS,CSS,
CSS Class,CSS klasa,
CSV,CSV,
CTA Label,Oznaka CTA,
CTA URL,CTA URL,
Calendar,Kalendar,
Calendar Name,Ime kalendara,
Calendar View,Pregled kalendara,
Call,Poziv,
Call To Action,Poziv na akciju,
Call To Action URL,URL poziva na akciju,
Callback Message,Poruka povratnog poziva,
Callback Title,Naslov povratnog poziva,
Campaign,Kampanja,
Cancel,Otkaži,
Cancelled,Otkazano,
