"""Company History""",'Firmahistorie',
"""Team Members"" or ""Management""",&quot;Team medlemmer&quot; eller &quot;Management&quot;,
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,** Valuta ** Master,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Udkast; 1 - Godkendt; 2 - Annulleret,
0 is highest,0 er højest,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"En liste over ressourcer, som Client App vil have adgang til, efter at brugeren tillader det. <br> fx projekt",
A symbol for this currency. For e.g. $,Et symbol for denne valuta. For eksempel $,
A4,A4,
ALL,ALLE,
API,API,
API Access,API-adgang,
API Endpoint,API Endpoint,
API Endpoint Args,API Endpoint Args,
API Key,API nøgle,
API Method,API-metode,
API Secret,API hemlighed,
ASC,ASC,
About Us Settings,Om os Indstillinger,
About Us Team Member,Om os Team medlem,
Access Key ID,Adgangskode ID,
Access Key Secret,Adgang nøglehemmelighed,
Access Log,Adgangslog,
Access Token,Adgangs token,
Access Token URL,Adgangstoken URL,
Account,Konto,
Accounts Manager,Regnskabschef,
Accounts User,Regnskabsbruger,
Action,Handling,
Action / Route,Handling / rute,
Action Timeout (Seconds),Handlings timeout (sekunder),
Action Type,Handlingstype,
Actions,Handlinger,
Active,Aktiv,
Active Domains,Aktive domæner,
Activity Log,Activity Log,
Add Container,Tilføj beholder,
Add Custom Tags,Tilføj tilpassede tags,
Add Gray Background,Tilføj grå baggrund,
Add Signature,Tilføj signatur,
Add Total Row,Tilføj total-række,
Add Unsubscribe Link,Tilføj Afmeld link,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Tilføjet HTML i -sektionen af hjemmesiden, der primært anvendes til hjemmesidens verificering og SEO",
Additional Permissions,Yderligere tilladelser,
Address,Adresse,
Address And Contacts,Adresse og kontakter,
Address Line 1,Adresse,
Address Line 2,Adresse 2,
Address Template,Adresseskabelon,
Address Title,Adresse Titel,
Address Type,Adressetype,
Address and other legal information you may want to put in the footer.,"Adresse og andre juridiske oplysninger, du måske ønsker at sætte i sidefoden.",
Addresses And Contacts,Adresser og kontakter,
Adds a custom field to a DocType,Tilføjer et brugerdefineret felt til et DocType,
Administrator,Administrator,
Advanced,Avanceret,
Advanced Control,Avanceret kontrol,
Advanced Settings,Avancerede indstillinger,
After Cancel,Efter annullering,
After Delete,Efter Slet,
After Save,Efter Gem,
After Save (Submitted Document),Efter gem (indsendt dokument),
After Submit,Efter indsendelse,
Aggregate Function Based On,Samlet funktion baseret på,
Alert,Alert,
Align Labels to the Right,Juster etiketter til højre,
Align Right,Juster højre,
All,Alle,
All Day,Hele dagen,
Allocated To,Tildelt til,
Allot Points To Assigned Users,Tildel point til tildelte brugere,
Allow,Tillad,
Allow Auto Repeat,Tillad automatisk gentagelse,
Allow Bulk Edit,Tillad Bundtopdatering,
Allow Comments,Tillad kommentarer,
Allow Consecutive Login Attempts ,Tillad på hinanden følgende loginforsøg,
Allow Delete,Tillad Slet,
Allow Dropbox Access,Tillad Dropbox adgang,
Allow Guest,Tillad gæst,
Allow Guest to View,Tillad Gæst til visning,
Allow Guests to Upload Files,Tillad gæster at uploade filer,
Allow Import (via Data Import Tool),Tillad Import (via Dataimport Tool),
Allow Incomplete Forms,Tillad Ufuldstændige formularer,
Allow Login After Fail,Tillad login efter fejl,
Allow Login using Mobile Number,Tillad login ved hjælp af mobilnummer,
Allow Login using User Name,Tillad login med brugernavn,
Allow Modules,Tillad moduler,
Allow Print,Tillad Print,
Allow Print for Cancelled,Tillad Print til Annulleret,
Allow Print for Draft,Tillad Print til Udkast,
Allow Read On All Link Options,Tillad læsning på alle linkindstillinger,
Allow Rename,Tillad Omdøb,
Allow Roles,Tillad Roller,
Allow Self Approval,Tillad selv godkendelse,
Allow approval for creator of the document,Tillad godkendelse til skaberen af dokumentet,
Allow document creation via Email,Tillad dokumentdannelse via e-mail,
Allow events in timeline,Tillad begivenheder i tidslinjen,
Allow in Quick Entry,Tillad i hurtig indtastning,
Allow on Submit,Tillad på Godkend,
Allow only one session per user,Tillad kun én session per bruger,
Allow page break inside tables,Tillad sideskift inde i tabeller,
Allow saving if mandatory fields are not filled,Tillad besparelse hvis obligatoriske felter ikke er udfyldt,
Allow user to login only after this hour (0-24),Tillad brugeren at logge først efter denne time (0-24),
Allow user to login only before this hour (0-24),Tillad brugeren at logge kun inden denne time (0-24),
Allowed,Tilladt,
Allowed In Mentions,Tilladt i Mentioner,
"Always add ""Draft"" Heading for printing draft documents","Tilføj altid ""Udkast"" som overskrift til udskrivning af kladder",
Amend,Ændre,
Amended From,Ændret Fra,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Et ikon fil med Ico forlængelse. Skal være 16 x 16 px. Fremkommet ved en favicon generator. [favicon-generator.org],
Analytics,Analyser,
Annual,Årligt,
Anonymous,Anonym,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Alle strengbaserede printersprog kan bruges. At skrive rå kommandoer kræver kendskab til printerens modersmål, der leveres af printerproducenten. Se udviklerhåndbogen fra printerproducenten om, hvordan man skriver deres oprindelige kommandoer. Disse kommandoer gengives på serversiden ved hjælp af Jinja Templating Language.",
App,App,
