"""Company History""",&quot;Firma ajalugu&quot;,
"""Team Members"" or ""Management""","Meeskonna liikmed"" või ""Management""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,** Valuuta ** Master,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Visand; 1 - Esitatud; 2 - Tühistatud,
0 is highest,0 on kõrgeim,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Nimekirja ressursse, mida klient App on juurdepääs pärast kasutaja seda lubab. <br> nt projekti",
A symbol for this currency. For e.g. $,Sümbol selle valuuta. Sest näiteks $,
A4,A4,
ALL,KÕIK,
API,API,
API Access,API juurdepääs,
API Endpoint,API lõpp-punkt,
API Endpoint Args,API lõpp-punkt Args,
API Key,API võti,
API Method,API-meetod,
API Secret,API Secret,
ASC,ASC,
About Us Settings,Meist Seaded,
About Us Team Member,Meist Team liige,
Access Key ID,Juurdepääsu võtme ID,
Access Key Secret,Juurdepääs võtme saladusele,
Access Log,Juurdepääsu logi,
Access Token,Access Token,
Access Token URL,Juurdepääs Tokeni URL-ile,
Account,Konto,
Accounts Manager,Accounts Manager,
Accounts User,Kontod Kasutaja,
Action,Action,
Action / Route,Toiming / marsruut,
Action Timeout (Seconds),Tegevusaeg (sekundites),
Action Type,Toimingu tüüp,
Actions,Actions,
Active,Aktiivne,
Active Domains,aktiivne Domeenid,
Activity Log,Activity Log,
Add Container,Lisage konteiner,
Add Custom Tags,Lisage kohandatud sildid,
Add Gray Background,Lisage hall taust,
Add Signature,Lisa allkiri,
Add Total Row,Lisa Kokku Row,
Add Unsubscribe Link,Lisa tellimus Link,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Lisatud HTML &lt;head&gt; osas veebilehe, mida kasutatakse peamiselt veebilehel kontrollimist ja SEO",
Additional Permissions,Täiendav reeglid,
Address,Aadress,
Address And Contacts,Aadress ja kontaktid,
Address Line 1,Aadress Line 1,
Address Line 2,Aadress Line 2,
Address Template,Aadress Mall,
Address Title,Aadress Pealkiri,
Address Type,aadressi tüüp,
Address and other legal information you may want to put in the footer.,Aadress ja muu juriidiline teave võiksite panna jalus.,
Addresses And Contacts,Aadressid ja kontaktid,
Adds a custom field to a DocType,Lisab custom valdkonnas DOCTYPE,
Administrator,Administraator,
Advanced,Edasijõudnud,
Advanced Control,Täpsem juhtimine,
Advanced Settings,Täpsemad seaded,
After Cancel,Pärast tühistamist,
After Delete,Pärast Kustuta,
After Save,Pärast Salvesta,
After Save (Submitted Document),Pärast salvestamist (esitatud dokument),
After Submit,Pärast esitamist,
Aggregate Function Based On,Agregeeritud funktsioon põhineb,
Alert,Hoiatus,
Align Labels to the Right,Joondage sildid paremale,
Align Right,Joondage paremale,
All,Kõik,
All Day,Terve päev,
Allocated To,Eraldatud,
Allot Points To Assigned Users,Jaotatud kasutajatele punkte,
Allow,Lubama,
Allow Auto Repeat,Luba automaatne kordus,
Allow Bulk Edit,Luba Bulk Edit,
Allow Comments,Laske Kommentaarid,
Allow Consecutive Login Attempts ,Luba järjestikused sisselogimise katsed,
Allow Delete,Laske Kustuta,
Allow Dropbox Access,Laske Dropbox Access,
Allow Guest,Luba külalisel,
Allow Guest to View,Luba külastajana Vaata,
Allow Guests to Upload Files,Luba külastajatel faile üles laadida,
Allow Import (via Data Import Tool),Luba Import (via Andmed Import Tool),
Allow Incomplete Forms,Laske Puudulik vormid,
Allow Login After Fail,Luba sisselogimine pärast nurjumist,
Allow Login using Mobile Number,Luba sisse kasutades Mobile arv,
Allow Login using User Name,Luba sisselogimine kasutajanime abil,
Allow Modules,Luba moodulid,
Allow Print,Laske Prindi,
Allow Print for Cancelled,Laske Print Tühistatud,
Allow Print for Draft,Laske Print eelnõu,
Allow Read On All Link Options,Luba lugemine kõigil lingi suvanditel,
Allow Rename,Laske Nimeta,
Allow Roles,Luba rollid,
Allow Self Approval,Lubage enese kinnitamine,
Allow approval for creator of the document,Luba dokumendi looja heakskiit,
Allow document creation via Email,Luba dokumendi loomine e-posti teel,
Allow events in timeline,Luba sündmused ajaskaalal,
Allow in Quick Entry,Luba kiirel sisselogimisel,
Allow on Submit,Laske Submit,
Allow only one session per user,Luba ainult ühe seansi kasutaja kohta,
Allow page break inside tables,Laske Lehevahetuse sees tabelid,
Allow saving if mandatory fields are not filled,"Laske säästa, kui kohustuslikud väljad ei ole täidetud",
Allow user to login only after this hour (0-24),Luba kasutajal sisse logida alles pärast seda tund (0-24),
Allow user to login only before this hour (0-24),Luba kasutajal sisse logida ainult enne seda tund (0-24),
Allowed,Lubatud,
Allowed In Mentions,Lubatud mainimisel,
"Always add ""Draft"" Heading for printing draft documents",Alati lisada &quot;eelnõu&quot; Rubriik trükkimiseks dokumentide eelnõud,
Amend,Muuta,
Amended From,Muudetud From,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Ikoon faili ICO laiendamine. Peaks olema 16 x 16 px. Loodud kasutades Favicon generaator. [favicon-generator.org],
Analytics,Analytics,
Annual,Aastane,
Anonymous,Anonüümne,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Kasutada saab mis tahes stringipõhiseid printerikeeli. Toorte käskude kirjutamine eeldab printeri emakeele tundmist, mille annab printeritootja. Omapäraste käskude kirjutamiseks lugege printeri tootja edastatud arendaja juhendit. Need käsud kuvatakse serveripoolel, kasutades Jinja templimiskeelt.",
App,App,
App Access Key,App Access Key,
App Client ID,App Kliendi ID,
App Client Secret,App kliendi saladus,
App Name,App nimi,
App Secret Key,App Secret Key,
Append Emails to Sent Folder,Lisage e-kirjad saadetud kausta,
Append To,Lisab,
Applicable For,Kohaldatav,
Application Logo,Rakenduse logo,
Application Name,Rakenduse nimi,
Application Version,Rakenduse versioon,
Applied On,Rakendatud,
Apply Document Permissions,Rakenda dokumendi õigusi,
Apply Only Once,Kandke ainult üks kord,
Apply Strict User Permissions,Ranged kasutajalubasid,
Apply To All Document Types,Rakenda kõigile dokumenditüüpidele,
Apply this rule if the User is the Owner,Rakenda see reegel kui Kasutaja on omanik,
Apply this rule only once per document,Kasutage seda reeglit ainult üks kord dokumendi kohta,
Appreciation,Tunnustus,
Archived,arhiveeritud,
Arial,Arial,
Assign Condition,Määra tingimus,
Assign To Users,Määra kasutajatele,
Assigned,Sihtotstarbelised,
Assigned By,Määratud,
Assigned By Full Name,Määratud Täisnimi,
Assignment,omistamine,
Assignment Completed,Ülesanne Valminud,
Assignment Days,Ülesannete päevad,
Assignment Rule,Määramise reegel,
Assignment Rule Day,Ülesannete reeglite päev,
Assignment Rule User,Määramise reegli kasutaja,
Assignment Rules,Loovutamisreeglid,
Assignments,Ülesanded,
Attach,Kinnitage,
Attach Image,Kinnita Image,
Attach Print,Kinnita Prindi,
Attached File,Manustatud fail,
Attached To DocType,Lisatud DocType,
Attached To Field,Väli lisatud,
Attached To Name,Lisatud Nimi,
Attachment,Attachment,
Attachment Limit (MB),Manuselimiidi (MB),
Attachment Link,Manuse link,
Attachment Removed,Kinnitus eemaldatud,
Attachments,Manused,
Auth URL Data,Auth URL-i andmed,
Authentication,Autentimine,
Author,autor,
Authorization Code,autoriseerimise koodi,
Authorize API Indexing  Access,Autoriseeri API indekseerimise juurdepääs,
Authorize Google Calendar Access,Google&#39;i kalendri juurdepääsu volitamine,
Authorize Google Contacts Access,Google&#39;i kontaktide juurdepääsu volitamine,
Authorize Google Drive Access,Google Drive&#39;i juurdepääsu volitamine,
Authorize URL,URL-i autoriseerimine,
Authorized,volitatud,
Auto,auto,
Auto Email Report,Auto Post Report,
Auto Name,Auto nimi,
Auto Repeat,Automaatne kordamine,
Auto Reply Message,Auto Vastusõnumit,
Automatically Assign Documents to Users,Dokumentide automaatne määramine kasutajatele,
Automation,Automatiseerimine,
Avatar,Avatar,
Average,Keskmine,
Awaiting Password,Parooli ootamine,
Awaiting password,Parooli ootamine,
BCC,BCC,
Background Color,Tausta värv,
Background Workers,Taust Töötajad,
Backup Details,Varundamise üksikasjad,
Backup Files,Varukoopiad,
Backup Folder ID,Kausta varukoopia ID,
Backup Folder Name,Kausta varundamine,
Backup Frequency,backup Frequency,
Backup public and private files along with the database.,Varundage avalikud ja privaatsed failid koos andmebaasiga.,
Backups,Varukoopiad,
Banner,Lipp,
Banner HTML,Banner HTML,
Banner Image,Banner Image,
Banner is above the Top Menu Bar.,Banner on eespool ülemisel menüüribal.,
Bar,Baar,
Barcode,Vöötkood,
Base Distinguished Name (DN),Base Distinguished Name (DN),
Base URL,Base URL,
Based On,Põhineb,
Based on Field,Põhineb Fieldil,
Based on Permissions For User,Tuginedes kasutusload,
Basic,Põhiline,
Before Cancel,Enne tühistamist,
Before Delete,Enne kustutamist,
Before Insert,Enne sisestamist,
Before Save,Enne salvestamist,
Before Save (Submitted Document),Enne salvestamist (esitatud dokument),
Before Submit,Enne esitamist,
Beginner,algaja,
Beta,beeta,
Billing,Arved,
Bio,Bio,
Birth Date,Sünnikuupäev,
Block Module,Block Module,
Block Modules,Block moodulid,
Blocked,blokeeritud,
Blog Category,Blogi Kategooria,
Blog Intro,Blogi tutvustus,
Blog Introduction,Blogi Sissejuhatus,
Blog Post,Blogi Post,
Blog Settings,Blogi Seaded,
Blog Title,Blogi pealkiri,
Blogger,Blogger,
Blue,Blue,
Bold,Julge,
Bot,Bot,
Bottom,Alumine,
Bounced,Põrkas,
Brand,Põletusmärk,
Brand HTML,Brand HTML,
Brand Image,kaubamärgi maine,
Breadcrumbs,Breadcrumbs,
Browser,Brauser,
Browser Version,Brauseri versioon,
Brute Force Security,Brute Force Security,
Bucket Name,Kopa nimi,
Bulk Update,hulgivärskendamine,
Button,Button,
Button Gradients,Nuppude gradient,
Button Rounded Corners,Nööbi ümardatud nurgad,
Button Shadows,Nuppude varjud,
Bypass Restricted IP Address Check If Two Factor Auth Enabled,"Piiratud IP-aadressi ümbersõit kontrollige, kui kahefaktoriline autentimine on lubatud",
