"""Company History""","""Historique de la Société""",
"""Team Members"" or ""Management""","""Membres de l'Équipe"" ou ""Management""",
&lt;head&gt; HTML,HTML,
**Currency** Master,Données de Base **Devise**,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Brouillon; 1 - Validé; 2 - Annulé,
0 is highest,0 est le plus élevé,
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4> Modèle par défaut <!-- h4--> 
 <p> <a href=""http://jinja.pocoo.org/docs/templates/""> Jinja Templating </a> et tous les champs d'adresse ( y compris les champs personnalisés le cas échéant) sera disponible <!-- p--> 
 </p><pre> <code> {{address_line1}} &amp; lt; br &amp; gt; 
 {% si address_line2%} {{address_line2}} &amp; lt; br &amp; gt; { % endif -%} 
 {{ville}} &amp; lt; br &amp; gt; 
 {% si l'état%} {{}} Etat &amp; lt; br &amp; gt; {% endif -%} {% if 
 code PIN%} PIN: {{code PIN}} &amp; lt; br &amp; gt; {% endif -%} 
 {{pays}} &amp; lt; br &amp; gt; 
 {% si le téléphone%} Téléphone: {{téléphone}} &amp; lt; br &amp; gt; { % endif -%} 
 {% if télécopieur%} Fax: {{fax}} &amp; lt; br &amp; gt; {% endif -%} 
 {% si email_id%} Email: {{email_id}} &amp; lt; br &amp; gt ; {% endif -%} 
 <!-- code--> <!-- pre--></code></pre></h4>",
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Une liste des ressources que l'App client aura accès à après que l'utilisateur le permet. <br> par exemple projet,
A symbol for this currency. For e.g. $,Un symbole pour cette monnaie. Par exemple $,
A4,A4,
ALL,Tous,
API,API,
API Access,Accès API,
API Endpoint,API Endpoint,
API Endpoint Args,Args de paramètres API,
API Key,Clé API,
API Method,Méthode API,
API Secret,Secret API,
ASC,ASC,
About,A Propos,
About Us Settings,Paramétrages À Propos,
About Us Team Member,À propos du Membre de l'équipe,
Access Key ID,ID de Clé d'Accès,
Access Key Secret,Clé d&#39;accès secrète,
Access Log,Journal d&#39;accès,
Access Token,Jeton d'Accès,
Access Token URL,URL du jeton d&#39;accès,
Account,Compte,
Accounts Manager,Responsable comptable,
Accounts User,Comptable,
Action,Action,
Action / Route,Action / Route,
Action Timeout (Seconds),Délai d&#39;attente de l&#39;action (secondes),
Action Type,type d&#39;action,
Actions,Actions,
Active,actif,
Active Domains,Domaines Actifs,
Activity Log,Journal d'Activité,
Add Container,Ajouter un conteneur,
Add Custom Tags,Ajouter des balises personnalisées,
Add Gray Background,Ajouter un fond gris,
Add Signature,Ajouter une Signature,
Add Total Row,Ajouter une Ligne Totale,
Add Unsubscribe Link,Ajouter le Lien Se Désinscrire,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","HTML ajouté dans la section   de la page web, utilisé principalement pour la vérification de site et le référencement",
Additional Permissions,Autorisations Supplémentaires,
Address,Adresse,
Address And Contacts,Adresse et contacts,
Address Line 1,Adresse Ligne 1,
Address Line 2,Adresse Ligne 2,
Address Template,Modèle d'Adresse,
Address Title,Titre de l'Adresse,
Address Type,Type d'Adresse,
Address and other legal information you may want to put in the footer.,Adresse et autres informations juridiques que vous voudriez mettre dans le pied de page.,
Addresses And Contacts,Adresses Et Contacts,
Adds a custom field to a DocType,Ajoute d'un champ personnalisé à un DocType,
Administrator,Administrateur,
Advanced,Avancé,
Advanced Control,Contrôle avancé,
Advanced Settings,Réglages avancés,
After Cancel,Après annuler,
After Delete,Après la suppression,
After Save,Après l&#39;enregistrement,
After Save (Submitted Document),Après l&#39;enregistrement (document valider),
After Submit,Après validation,
Aggregate Function Based On,Fonction d&#39;agrégation basée sur,
Alert,Alerte,
Align Labels to the Right,Alignez les Étiquettes à Droite,
Align Right,Aligner à droite,
All,Tout,
All Day,Toute la Journée,
Allocated To,Attribué à,
Allot Points To Assigned Users,Allouer des points à des utilisateurs assignés,
Allow,Autoriser,
Allow Auto Repeat,Autoriser la répétition automatique,
Allow Bulk Edit,Autoriser la Modification en Masse,
Allow Comments,Autoriser les Commentaires,
Allow Consecutive Login Attempts ,Autoriser des tentatives de connexion consécutives,
Allow Delete,Autoriser la Suppression,
Allow Dropbox Access,Autoriser l'Accès à Dropbox,
Allow Guest,Autoriser l&#39;invité,
Allow Guest to View,Autoriser les Invités à Voir,
Allow Guests to Upload Files,Autoriser les invités à télécharger des fichiers,
Allow Import (via Data Import Tool),Autoriser l&#39;importation (via l&#39;outil d&#39;importation de données),
Allow Incomplete Forms,Autoriser les Formulaires Incomplets,
Allow Login After Fail,Nombre d'échecs maximum de connexion,
Allow Login using Mobile Number,Autoriser la Connexion en utilisant un Numéro de Téléphone Portable,
Allow Login using User Name,Autoriser la connexion en utilisant le Nom d'Utilisateur,
Allow Modules,Autoriser les modules,
Allow Print,Autoriser l'Impression,
Allow Print for Cancelled,Autoriser l'Impression si Annulé,
Allow Print for Draft,Autoriser l'Impression si Brouillon,
Allow Read On All Link Options,Autoriser la lecture de toutes les options de lien,
Allow Rename,Permettre le Renommage,
Allow Roles,Autoriser les Rôles,
Allow Self Approval,Autoriser l&#39;auto-approbation,
Allow approval for creator of the document,Autoriser l'approbation par le créateur du document,
Allow document creation via Email,Autoriser la création de documents par e-mail,
Allow events in timeline,Autoriser les événements dans la chronologie,
Allow in Quick Entry,Autoriser dans les entrées rapides,
Allow on Submit,Autoriser à la Validation,
Allow only one session per user,Autoriser une seule session par utilisateur,
Allow page break inside tables,Autoriser les sauts de page dans les tables,
Allow saving if mandatory fields are not filled,Autoriser l&#39;enregistrement si les champs obligatoires ne sont pas remplis,
Allow user to login only after this hour (0-24),Autoriser l'utilisateur à se connecter seulement après cette heure (0-24),
Allow user to login only before this hour (0-24),Autoriser l'utilisateur à se connecter seulement après cette heure (0-24),
Allowed,Autorisé,
Allowed In Mentions,Autorisé dans les mentions,
Alternative Email ID,Email de connexion alternatif,
"Always add ""Draft"" Heading for printing draft documents","Toujours ajouter ""Brouillon"" pour l'impression des documents brouillons",
Always use this email address as sender address,Toujours utiliser cet email comme expediteur,
Always use this name as sender name,Toujours utiliser ce nom comme expediteur,
Amend,Nouv. version,
Amended From,Modifié Depuis,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Un fichier d'icône avec l’extension .ico. Devrait être 16 x 16 px. Générer en utilisant un générateur de favicon. [favicon-generator.org],
Analytics,Analytique,
Annual,Annuel,
Anonymous,Anonyme,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,Tous les langages d&#39;impression basés sur des chaînes peuvent être utilisés. L&#39;écriture de commandes brutes nécessite la connaissance de la langue maternelle de l&#39;imprimante fournie par le fabricant de l&#39;imprimante. Veuillez vous reporter au manuel du développeur fourni par le fabricant de l’imprimante pour savoir comment écrire leurs commandes natives. Ces commandes sont rendues côté serveur à l&#39;aide du langage de templates Jinja.,
App,App,
App Access Key,Clé d'Accès de l'App,
App Client ID,ID Client de l'App,
App Client Secret,Secret Client de l'App,
App Name,Nom de l'App,
App Secret Key,Clé Secrète de l'App,
Append Emails to Sent Folder,Ajouter des e-mails au dossier envoyé,
Append To,Ajouter A,
Applicable For,Applicable Pour,
Application Logo,Logo de l&#39;application,
Application Name,Nom de l&#39;application,
Application Version,Version de l&#39;application,
Applied On,Appliqué sur,
Apply Document Permissions,Appliquer les autorisations de document,
Apply Only Once,Appliquer une seule fois,
Apply Strict User Permissions,Appliquer des autorisations d&#39;utilisateur strictes,
Apply To All Document Types,Appliquer à tous les types de documents,
Apply this rule if the User is the Owner,Appliquer cette règle si l'Utilisateur est le Responsable,
Apply this rule only once per document,Appliquer cette règle une seule fois par document,
Appreciation,Appréciation,
Archived,Archivé,
Arial,Arial,
Assign Condition,Attribuer une condition,
Assign To Users,Attribuer aux utilisateurs,
