"""Company History""","""Sejarah Perusahaan""",
"""Team Members"" or ""Management""","""Anggota Tim"" atau ""Manajemen""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,**Mata Uang** Utama,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Draft; 1 - Dikirim; 2 - Dibatalkan,
0 is highest,0 adalah tertinggi,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Sebuah daftar sumber daya yang App Klien akan memiliki akses ke setelah pengguna memungkinkan. <br> misalnya proyek,
A symbol for this currency. For e.g. $,Simbol untuk mata uang ini. Contoh $,
A4,A4,
ALL,SEMUA,
API,API,
API Access,Akses API,
API Endpoint,API Endpoint,
API Endpoint Args,API Endpoint Args,
API Key,API Key,
API Method,Metode API,
API Secret,API Rahasia,
ASC,ASC,
About Us Settings,Pengaturan Tetang Kami,
About Us Team Member,Tentang Kami Anggota Tim,
Access Key ID,ID Kunci Akses,
Access Key Secret,Akses Kunci Rahasia,
Access Log,Log Akses,
Access Token,Akses Token,
Access Token URL,URL Token Akses,
Account,Akun,
Accounts Manager,Pengelola Akun,
Accounts User,Pengguna Akun,
Action,Tindakan,
Action / Route,Tindakan / Rute,
Action Timeout (Seconds),Timeout Aksi (Detik),
Action Type,tipe aksi,
Actions,Tindakan,
Active,Aktif,
Active Domains,Domain aktif,
Activity Log,Log Aktivitas,
Add Container,Tambahkan Penampung,
Add Custom Tags,Tambahkan Tag Kustom,
Add Gray Background,Tambahkan Latar Belakang Abu-abu,
Add Signature,Tambahkan Signature,
Add Total Row,Tambahkan 'Baris Total',
Add Unsubscribe Link,Menambahkan Unsubscribe Link,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Ditambahkan HTML di bagian  dari halaman web, terutama digunakan untuk verifikasi situs dan SEO",
Additional Permissions,Izin Tambahan,
Address,Alamat,
Address And Contacts,Alamat Dan Kontak,
Address Line 1,Alamat Baris 1,
Address Line 2,Alamat Baris 2,
Address Template,Template Alamat,
Address Title,Judul Alamat,
Address Type,Tipe Alamat,
Address and other legal information you may want to put in the footer.,Alamat dan informasi legal lainnya yang mungkin Anda ingin masukkan ke footer.,
Addresses And Contacts,Alamat-Alamat Dan Kontak-Kontak,
Adds a custom field to a DocType,Menambahkan custom field untuk DocType,
Administrator,Administrator,
Advanced,Lanjutan,
Advanced Control,Kontrol Tingkat Lanjut,
Advanced Settings,Pengaturan lanjutan,
After Cancel,Setelah Batal,
After Delete,Setelah Hapus,
After Save,Setelah Simpan,
After Save (Submitted Document),Setelah Menyimpan (Dokumen yang Dikirim),
After Submit,Setelah Kirim,
Aggregate Function Based On,Fungsi Agregat Berdasarkan,
Alert,Waspada,
Align Labels to the Right,Meratakan Labels ke kanan,
Align Right,Rata kanan,
All,Semua,
All Day,Semua Hari,
Allocated To,Dialokasikan Ke,
Allot Points To Assigned Users,Allot Points Untuk Pengguna yang Ditugaskan,
Allow,Mengizinkan,
Allow Auto Repeat,Izinkan Ulangi Otomatis,
Allow Bulk Edit,Izinkan Edit Massal,
Allow Comments,Izinkan Komentar,
Allow Consecutive Login Attempts ,Izinkan Upaya Masuk Berturut-turut,
Allow Delete,Izinkan Hapus,
Allow Dropbox Access,Izinkan Akses Dropbox,
Allow Guest,Izinkan Tamu,
Allow Guest to View,Izinkan tamu untuk Lihat,
Allow Guests to Upload Files,Izinkan Tamu Mengunggah File,
Allow Import (via Data Import Tool),Izinkan Impor (melalui Alat Import Data),
Allow Incomplete Forms,Izikan Formulir tidak lengkap,
Allow Login After Fail,Perbolehkan Masuk Setelah Gagal,
Allow Login using Mobile Number,Izinkan Login menggunakan Nomor Handphone,
Allow Login using User Name,Izinkan Login menggunakan User Name,
Allow Modules,Izinkan Modul,
Allow Print,Izinkan Cetak,
Allow Print for Cancelled,Memungkinkan Print untuk Dibatalkan,
Allow Print for Draft,Memungkinkan Print untuk Draft,
Allow Read On All Link Options,Izinkan Baca Di Semua Opsi Tautan,
Allow Rename,Izinkan Rename,
Allow Roles,Izinkan Roles,
Allow Self Approval,Izinkan Persetujuan Sendiri,
Allow approval for creator of the document,Izinkan persetujuan untuk pembuat dokumen,
Allow document creation via Email,Izinkan pembuatan dokumen melalui Email,
Allow events in timeline,Izinkan acara dalam garis waktu,
Allow in Quick Entry,Izinkan dalam Entri Cepat,
Allow on Submit,Izinkan Submit,
Allow only one session per user,Hanya mengizinkan satu sesi per pengguna,
Allow page break inside tables,Memungkinkan halaman istirahat dalam tabel,
Allow saving if mandatory fields are not filled,Izinkan untuk menyimpan jika bidang wajib tidak diisi,
Allow user to login only after this hour (0-24),Memungkinkan pengguna untuk login hanya setelah jam ini (0-24),
Allow user to login only before this hour (0-24),Memungkinkan pengguna untuk login hanya sebelum jam ini (0-24),
Allowed,Diizinkan,
Allowed In Mentions,Diizinkan Dengan Sebutan,
"Always add ""Draft"" Heading for printing draft documents",Selalu menambahkan &quot;Draft&quot; Menuju rancangan pencetakan dokumen,
Amend,Merubah,
Amended From,Diubah Dari,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],File icon dengan ekstensi .ico. Harus 16 x 16 px. Dihasilkan menggunakan generator favicon. [favicon-generator.org],
Analytics,Analytics,
Annual,Tahunan,
Anonymous,Anonim,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,Bahasa printer berbasis string apa pun dapat digunakan. Menulis perintah mentah membutuhkan pengetahuan tentang bahasa asli printer yang disediakan oleh produsen printer. Silakan merujuk ke manual pengembang yang disediakan oleh pabrik printer tentang cara menulis perintah asli mereka. Perintah-perintah ini diberikan di sisi server menggunakan Bahasa Templating Jinja.,
App,Aplikasi,
App Access Key,Aplikasi Access Key,
App Client ID,Aplikasi Client ID,
App Client Secret,Aplikasi Client Rahasia,
App Name,Nama App,
App Secret Key,App Kunci Rahasia,
Append Emails to Sent Folder,Tambahkan Email ke Folder Terkirim,
Append To,Untuk menambahkan,
Applicable For,Berlaku Untuk,
Application Logo,Logo Aplikasi,
Application Name,nama aplikasi,
Application Version,Versi Aplikasi,
Applied On,Diterapkan Pada,
Apply Document Permissions,Terapkan Izin Dokumen,
Apply Only Once,Terapkan Hanya Sekali,
Apply Strict User Permissions,Terapkan Izin Pengguna yang Ketat,
Apply To All Document Types,Berlaku untuk Semua Jenis Dokumen,
Apply this rule if the User is the Owner,Menerapkan aturan ini jika pengguna adalah pemilik,
Apply this rule only once per document,Terapkan aturan ini hanya sekali per dokumen,
Appreciation,Apresiasi,
Archived,Diarsipkan,
Arial,Arial,
Assign Condition,Kondisi Penugasan,
Assign To Users,Tetapkan Untuk Pengguna,
Assigned,Ditugaskan,
Assigned By,Ditugaskan Oleh,
Assigned By Full Name,Ditugaskan Dengan Nama Lengkap,
Assignment,Tugas,
Assignment Completed,Tugas Selesai,
Assignment Days,Hari Penugasan,
Assignment Rule,Aturan Penugasan,
Assignment Rule Day,Hari Aturan Penugasan,
Assignment Rule User,Pengguna Aturan Penugasan,
Assignment Rules,Aturan Penugasan,
Assignments,Tugas,
Attach,Melampirkan,
Attach Image,Pasang Gambar,
Attach Print,Lampirkan Cetak,
Attached File,File terlampir,
Attached To DocType,Terlampir Untuk DocType,
Attached To Field,Terlampir ke lapangan,
Attached To Name,Terlampir Untuk Nama,
Attachment,Lampiran,
Attachment Limit (MB),Batas Lampiran (MB),
Attachment Link,Tautan Lampiran,
Attachment Removed,Lampiran Dihapus,
Attachments,Lampiran,
Auth URL Data,Data URL Auth,
Authentication,pembuktian keaslian,
Author,Penulis,
Authorization Code,Kode otorisasi,
Authorize API Indexing  Access,Izinkan Akses Pengindeksan API,
Authorize Google Calendar Access,Otorisasi Akses Kalender Google,
Authorize Google Contacts Access,Otorisasi Akses Kontak Google,
Authorize Google Drive Access,Otorisasi Akses Google Drive,
Authorize URL,Otorisasi URL,
Authorized,resmi,
Auto,Mobil,
Auto Email Report,Laporan Surel Otomatis,
Auto Name,Nama Otomatis,
Auto Repeat,Ulangi Otomatis,
Auto Reply Message,Auto Reply Pesan,
Automatically Assign Documents to Users,Secara otomatis Menetapkan Dokumen untuk Pengguna,
Automation,Otomatisasi,
Avatar,Avatar,
Average,Rata-rata,
Awaiting Password,Menunggu Kata Sandi,
Awaiting password,Menunggu Sandi,
BCC,BCC,
Background Color,Warna Latar,
Background Workers,Pekerja latar,
Backup Details,Detail Cadangan,
Backup Files,File Cadangan,
Backup Folder ID,ID Folder Cadangan,
Backup Folder Name,Nama Folder Cadangan,
Backup Frequency,Frekuensi Pencadangan,
Backup public and private files along with the database.,Cadangkan file publik dan pribadi bersama dengan database.,
Backups,Cadangan,
Banner,Spanduk,
Banner HTML,Spanduk HTML,
Banner Image,Spanduk Gambar,
Banner is above the Top Menu Bar.,Spanduk di atas Menu Atas.,
Bar,Bar,
Barcode,Kode batang,
Base Distinguished Name (DN),Dasar Pembedaan Nama (DN),
Base URL,URL dasar,
Based On,Berdasarkan,
Based on Field,Berdasarkan Bidang,
Based on Permissions For User,Berdasarkan Izin Untuk Pengguna,
Basic,Dasar,
Before Cancel,Sebelum Batalkan,
Before Delete,Sebelum Hapus,
Before Insert,Sebelum Memasukkan,
Before Save,Sebelum Menyimpan,
Before Save (Submitted Document),Sebelum Menyimpan (Dokumen yang Dikirim),
Before Submit,Sebelum Kirim,
Beginner,Pemula,
Beta,beta,
Billing,Penagihan,
Bio,Bio,
Birth Date,Tanggal lahir,
Block Module,Blok Modul,
Block Modules,Blok Modul,
Blocked,Diblokir,
Blog Category,Kategori Blog,
Blog Intro,Pendahuluan Blog,
Blog Introduction,Pendahuluan Blog,
Blog Post,Posting Blog,
Blog Settings,Pengaturan Blog,
Blog Title,Judul Blog,
Blogger,Blogger,
Blue,Biru,
Bold,Mencolok,
Bot,Bot,
Bottom,Bawah,
Bounced,Memantul,
Brand,Merek,
Brand HTML,Merek HTML,
Brand Image,Image Merek,
Breadcrumbs,Tepung Roti,
Browser,Browser,
Browser Version,Versi Peramban,
Brute Force Security,Brute Force Security,
Bucket Name,Nama Keranjang,
Bulk Update,Perbarui Massal,
Button,Tombol,
Button Gradients,Gradien Tombol,
Button Rounded Corners,Tombol Rounded Corners,
Button Shadows,Bayangan Tombol,
Bypass Restricted IP Address Check If Two Factor Auth Enabled,Bypass Restricted IP Address Periksa Jika Two Factor Auth Diaktifkan,
Bypass Two Factor Auth for users who login from restricted IP Address,Bypass Two Factor Auth untuk pengguna yang masuk dari IP Address terbatas,
Bypass restricted IP Address check If Two Factor Auth Enabled,Bypass restricted IP Address check Jika Two Factor Auth Diaktifkan,
CC,CC,
CSS,CSS,
CSS Class,Kelas CSS,
CSV,CSV,
CTA Label,Label CTA,
CTA URL,URL CTA,
Calendar,Kalender,
Calendar Name,Nama Kalender,
Calendar View,Tampilan kalender,
Call,Panggilan Telpon,
Call To Action,Panggilan untuk bertindak,
Call To Action URL,URL Ajakan Bertindak,
Callback Message,Pesan Panggilan Balik,
Callback Title,Judul Panggilan Balik,
Campaign,Promosi,
Cancel,Batalkan,
Cancelled,Dibatalkan,
Card,Kartu,
Cards,Kartu-kartu,
Category,Kategori,
Category Description,Kategori Deskripsi,
Category Name,Kategori Nama,
Center,Pusat,
Chaining Hash,Chaining Hash,
Change Label (via Custom Translation),Ganti Label (via Khusus Translation),
Change Password,Ganti kata sandi,
Channel,Saluran,
Chart,Grafik,
Chart Configuration,Konfigurasi Grafik,
Chart Name,Nama Bagan,
Chart Options,Opsi Bagan,
Chart Source,Sumber Bagan,
Chart Type,Jenis bagan,
Charts,Grafik,
Chat,Obrolan,
Check,Memeriksa,
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Periksa ini jika Anda ingin untuk memaksa pengguna untuk memilih seri sebelum menyimpan. Tidak akan ada default jika Anda memeriksa ini.,
Checking this will hide custom doctypes and reports cards in Links section,Memeriksa ini akan menyembunyikan jenis dokumen dan kartu laporan khusus di bagian Tautan,
Checksum Version,Versi Checksum,
