"""Company History""",&quot;La storia della società&quot;,
"""Team Members"" or ""Management""",&quot;Membri del team&quot; o &quot;gestione&quot;,
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,**Valuta** Principale,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Bozza; 1 - Presentato; 2 - Annullato,
0 is highest,0 è il più alto,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Un elenco di risorse che l'applicazione client avrà accesso a dopo che l'utente lo permette. <br> ad esempio, del progetto",
A symbol for this currency. For e.g. $,Un simbolo per questa valuta. Per esempio $,
A4,A4,
ALL,Tutto,
API,API,
API Access,Accesso API,
API Endpoint,Endpoint API,
API Endpoint Args,Argomenti dell&#39;endpoint API,
API Key,API Key,
API Method,Metodo API,
API Secret,API Secret,
ASC,ASC,
About Us Settings,Chi siamo Impostazioni,
About Us Team Member,Chi siamo Membri Team,
Access Key ID,ID Chiave di accesso,
Access Key Secret,Accesso segreto chiave,
Access Log,Accedi al registro,
Access Token,Token di accesso,
Access Token URL,URL del token di accesso,
Account,account,
Accounts Manager,Accounts Manager,
Accounts User,Accounts User,
Action,Azione,
Action / Route,Azione / percorso,
Action Timeout (Seconds),Scadenza azione (secondi),
Action Type,Tipo di azione,
Actions,Azioni,
Active,Attivo,
Active Domains,Domini attivi,
Activity Log,Registro attività,
Add Container,Aggiungi contenitore,
Add Custom Tags,Aggiungi tag personalizzati,
Add Gray Background,Aggiungi sfondo grigio,
Add Signature,Aggiungi Firma,
Add Total Row,Aggiungi Totale Riga,
Add Unsubscribe Link,Aggiungi Link Annulla l'iscrizione,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","HTML Aggiunto nella sezione &lt;head&gt; della pagina web, utilizzato principalmente per la verifica sito web e SEO",
Additional Permissions,Autorizzazioni aggiuntive,
Address,Indirizzo,
Address And Contacts,Indirizzo e contatti,
Address Line 1,Indirizzo,
Address Line 2,Indirizzo 2,
Address Template,Indirizzo Template,
Address Title,Titolo indirizzo,
Address Type,Tipo di indirizzo,
