"""Company History""",「沿革」,
"""Team Members"" or ""Management""",「チームメンバー」または「管理」,
&lt;head&gt; HTML,&lt;head&gt;HTML,
**Currency** Master,「通貨」マスター,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - ドラフト; 1 - 提出済; 2 - キャンセル,
0 is highest,0が上限です,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,クライアントアプリケーションは、ユーザがそれを可能にした後にアクセスする必要がありますリソースのリスト。 <br>例えばプロジェクト,
A symbol for this currency. For e.g. $,この通貨のシンボル（例：＄）,
A4,A4,
ALL,すべて,
API,API,
API Access,APIアクセス,
API Endpoint,APIエンドポイント,
API Endpoint Args,APIエンドポイント引数,
API Key,APIキー,
API Method,APIメソッド,
API Secret,APIシークレット,
ASC,ASC,
About Us Settings,会社の設定について,
About Us Team Member,問い合わせチームメンバーについて,
Access Key ID,アクセスキーID,
Access Key Secret,アクセスキーシークレット,
Access Log,アクセスログ,
Access Token,アクセストークン,
Access Token URL,アクセストークンURL,
Account,アカウント,
Accounts Manager,会計管理者,
Accounts User,会計ユーザー,
Action,アクション,
Action / Route,アクション/ルート,
Action Timeout (Seconds),アクションタイムアウト（秒）,
Action Type,アクションタイプ,
Actions,動作,
Active,アクティブ,
Active Domains,アクティブドメイン,
Activity Log,活動ログ,
Add Container,コンテナを追加,
Add Custom Tags,カスタムタグを追加する,
Add Gray Background,灰色の背景を追加,
Add Signature,署名を追加,
Add Total Row,合計行を追加,
Add Unsubscribe Link,解除リンクを追加,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",主にWebサイトの検証とSEOのために使用するHTMLをセクションに追加,
Additional Permissions,追加のアクセス許可,
Address,住所,
Address And Contacts,住所と連絡先,
Address Line 1,住所 1行目,
Address Line 2,住所2行目,
Address Template,住所テンプレート,
Address Title,住所タイトル,
Address Type,住所タイプ,
Address and other legal information you may want to put in the footer.,住所やその他の法的情報（フッターに配置するなど）,
Addresses And Contacts,住所と連絡先,
Adds a custom field to a DocType,文書タイプにカスタムフィールドを追加,
Administrator,管理者,
Advanced,高度な,
Advanced Control,高度な制御,
Advanced Settings,高度な設定,
After Cancel,キャンセル後,
After Delete,削除後,
After Save,保存後,
After Save (Submitted Document),保存後（提出文書）,
After Submit,送信後,
Aggregate Function Based On,に基づく集約関数,
Alert,アラート,
Align Labels to the Right,ラベルを右揃えにする,
Align Right,右揃え,
All,すべて,
All Day,一日中,
Allocated To,割当先,
Allot Points To Assigned Users,割り当てられたユーザーにポイントを割り当てる,
Allow,許可,
Allow Auto Repeat,自動繰り返しを許可,
Allow Bulk Edit,一括編集を許可する,
Allow Comments,コメントを許可する,
Allow Consecutive Login Attempts ,連続ログイン試行を許可する,
Allow Delete,削除を許可する,
Allow Dropbox Access,Dropboxのアクセスを許可,
Allow Guest,ゲストを許可,
Allow Guest to View,ユーザーレビュー表示することができます,
Allow Guests to Upload Files,ゲストにファイルのアップロードを許可する,
Allow Import (via Data Import Tool),インポートを許可する（データのインポートツールを経由して）,
Allow Incomplete Forms,不完全なフォームを許可する,
Allow Login After Fail,失敗後にログインを許可する,
Allow Login using Mobile Number,携帯電話番号でのログインを許可する,
Allow Login using User Name,ユーザー名でのログインを許可する,
Allow Modules,許可モジュール,
Allow Print,印刷を許可する,
Allow Print for Cancelled,キャンセル済みの印刷を許可,
Allow Print for Draft,下書きの印刷を許可,
Allow Read On All Link Options,すべてのリンクオプションで読み取りを許可する,
Allow Rename,名前の変更を許可,
Allow Roles,役割を許可,
Allow Self Approval,自己承認を許可する,
Allow approval for creator of the document,文書作成者の承認を許可する,
Allow document creation via Email,電子メールによるドキュメントの作成を許可する,
Allow events in timeline,タイムラインでイベントを許可する,
Allow in Quick Entry,クイックエントリで許可する,
Allow on Submit,提出を許可,
Allow only one session per user,ユーザーごとに1つだけのセッションを許可します,
Allow page break inside tables,表内での改ページを許可する,
Allow saving if mandatory fields are not filled,必須フィールドが充填されていない場合は保存を許可します,
Allow user to login only after this hour (0-24),（0-24）以降の時間のみユーザーログインを許可,
Allow user to login only before this hour (0-24),（0-24）以前の時間のみユーザーログインを許可,
Allowed,許可されている,
Allowed In Mentions,言及で許可される,
"Always add ""Draft"" Heading for printing draft documents",常に印刷ドラフト文書の見出し &quot;ドラフト&quot;を追加,
Amend,修正,
Amended From,修正元,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico拡張子のアイコンファイル。 16x16ピクセルにする必要があります。ファビコンジェネレータを使用して生成されました。 [favicon-generator.org],
Analytics,分析,
Annual,年次,
Anonymous,匿名,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,任意の文字列ベースのプリンタ言語を使用できます。生のコマンドを書くことはプリンター製造業者によって提供されたプリンターの母国語の知識を必要とします。ネイティブコマンドの書き方については、プリンタの製造元から提供されている開発者マニュアルを参照してください。これらのコマンドは、Jinja Templating Languageを使用してサーバー側にレンダリングされます。,
App,アプリ,
App Access Key,アプリのアクセスキー,
App Client ID,アプリのクライアントID,
App Client Secret,アプリのクライアントシークレット,
App Name,アプリケーション名,
App Secret Key,アプリの秘密鍵,
Append Emails to Sent Folder,メールを送信済みフォルダーに追加,
Append To,追加,
Applicable For,適用可能なもの,
Application Logo,アプリケーションロゴ,
Application Name,アプリケーション名,
Application Version,アプリケーションバージョン,
Applied On,適用日,
Apply Document Permissions,ドキュメントのアクセス許可を適用する,
Apply Only Once,一度だけ適用,
Apply Strict User Permissions,厳格なユーザー権限を適用,
Apply To All Document Types,すべての文書タイプに適用,
Apply this rule if the User is the Owner,ユーザーが所有者である場合にこのルールを適用,
Apply this rule only once per document,このルールをドキュメントごとに1回だけ適用します,
Appreciation,感謝,
Archived,アーカイブ,
Arial,Arial,
Assign Condition,条件を割り当てる,
Assign To Users,ユーザーに割り当て,
Assigned,割当済,
Assigned By,割当元,
Assigned By Full Name,フルネームによって割り当て,
Assignment,割当,
Assignment Completed,割当完了,
Assignment Days,割り当て日,
Assignment Rule,割り当て規則,
Assignment Rule Day,割り当てルールの日,
Assignment Rule User,割り当てルールのユーザー,
Assignment Rules,割り当て規則,
Assignments,課題,
Attach,添付する,
Attach Image,画像を添付,
