"""Company History""","""회사 연혁""",
"""Team Members"" or ""Management""","""Team Members""또는 ""Management""",
&lt;head&gt; HTML,&lt;HEAD&gt; HTML,
**Currency** Master,** 통화 ** 마스터,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - 초안; 1 - 제출; 2 - 취소,
0 is highest,0은 가장 높은,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,클라이언트 응용 프로그램은 사용자가 허용 한 후에 액세스 할 수 있습니다 자원의 목록입니다. <br> 예를 들어 프로젝트,
A symbol for this currency. For e.g. $,이 통화에 대한 기호.예를 들어 $,
A4,A4,
ALL,모든,
API,API,
API Access,API 액세스,
API Endpoint,API 엔드 포인트,
API Endpoint Args,API 끝점 인수,
API Key,API 키,
API Method,API 방법,
API Secret,API 비밀,
ASC,ASC,
About Us Settings,설정 정보에 관하여,
About Us Team Member,팀 구성원에 대한,
Access Key ID,액세스 키 ID,
Access Key Secret,액세스 키 비밀,
Access Log,액세스 로그,
Access Token,액세스 토큰,
Access Token URL,액세스 토큰 URL,
Account,계정,
Accounts Manager,계정 관리자,
Accounts User,회계시용자,
Action,수행,
Action / Route,행동 / 경로,
Action Timeout (Seconds),작업 제한 시간 (초),
Action Type,액션 타입,
Actions,수행,
Active,활성화,
Active Domains,활성 도메인,
Activity Log,활동 로그,
Add Container,컨테이너 추가,
Add Custom Tags,사용자 정의 태그 추가,
Add Gray Background,회색 배경 추가,
Add Signature,서명 추가,
Add Total Row,요약 행에게 추가,
Add Unsubscribe Link,탈퇴 링크 추가,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",&lt;헤드&gt;에서 추가 된 HTML 웹 페이지의 섹션은 주로 웹 사이트 확인 및 검색 엔진 최적화에 사용,
Additional Permissions,추가 권한,
Address,주소,
Address And Contacts,주소 및 연락처,
Address Line 1,1 호선 주소,
Address Line 2,2 호선 주소,
Address Template,주소 템플릿,
Address Title,주소 제목,
Address Type,주소 유형,
Address and other legal information you may want to put in the footer.,주소 및 기타 법적 정보는 바닥 글에 배치 할 수 있습니다.,
Addresses And Contacts,주소 및 연락처,
Adds a custom field to a DocType,문서 타입에 사용자 정의 필드를 추가합니다,
Administrator,관리자,
Advanced,고급,
Advanced Control,고급 제어,
Advanced Settings,고급 설정,
After Cancel,취소 후,
After Delete,삭제 후,
After Save,저장 후,
After Save (Submitted Document),저장 후 (제출 된 문서),
After Submit,제출 후,
Aggregate Function Based On,에 기반한 집계 함수,
Alert,경보,
Align Labels to the Right,레이블을 오른쪽 정렬,
Align Right,오른쪽 정렬,
All,모두,
All Day,하루 종일,
Allocated To,에 할당,
Allot Points To Assigned Users,할당 된 사용자에게 할당 포인트,
Allow,허용하다,
Allow Auto Repeat,자동 반복 허용,
Allow Bulk Edit,일괄 수정 허용,
Allow Comments,댓글 허용,
Allow Consecutive Login Attempts ,연속 로그인 시도 허용,
Allow Delete,삭제 허용,
Allow Dropbox Access,보관 용 접근이 허용,
Allow Guest,손님 허용,
Allow Guest to View,고객이 볼 수 있도록 허용,
Allow Guests to Upload Files,손님이 파일을 업로드하도록 허용,
Allow Import (via Data Import Tool),가져 오기를 허용 (데이터 가져 오기 도구를 통해),
Allow Incomplete Forms,불완전한 양식 허용,
Allow Login After Fail,실패 후 로그인 허용,
Allow Login using Mobile Number,휴대 전화 번호로 로그인 허용,
Allow Login using User Name,사용자 이름을 사용하여 로그인 허용,
Allow Modules,모듈 허용,
Allow Print,인쇄 허용,
Allow Print for Cancelled,취소에 대한 인쇄 허용,
Allow Print for Draft,초안에 대한 인쇄 허용,
Allow Read On All Link Options,모든 링크 옵션에서 읽기 허용,
Allow Rename,이름 변경이 허용,
Allow Roles,역할 허용,
Allow Self Approval,자체 승인 허용,
Allow approval for creator of the document,문서 작성자에게 승인 허용,
Allow document creation via Email,이메일을 통한 문서 생성 허용,
Allow events in timeline,타임 라인에서 이벤트 허용,
Allow in Quick Entry,빠른 입력 허용,
Allow on Submit,제출에 허용,
Allow only one session per user,사용자 당 하나의 세션 만 허용,
Allow page break inside tables,테이블 내부 페이지 나누기 허용,
Allow saving if mandatory fields are not filled,필수 필드가 작성되지 않은 경우 저장 허용,
Allow user to login only after this hour (0-24),사용자는이 시간 이후 (0-24)에 로그인 할 수 있도록 허용,
Allow user to login only before this hour (0-24),사용자는이 시간 전에 (0-24)에 로그인 할 수 있도록 허용,
Allowed,허용,
Allowed In Mentions,멘션에서 허용됨,
"Always add ""Draft"" Heading for printing draft documents",항상 인쇄 초안 문서 제목 &quot;초안&quot;을 추가,
Amend,수정,
Amended From,개정,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],질환자 확장자 아이콘 파일. 16 × 16 (PX)이어야합니다. 파비콘 생성기를 사용하여 생성됩니다. [favicon-generator.org],
Analytics,분석,
Annual,연간,
Anonymous,익명,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,모든 문자열 기반 프린터 언어를 사용할 수 있습니다. 원시 명령을 작성하려면 프린터 제조업체가 제공 한 프린터의 모국어에 대한 지식이 필요합니다. 기본 명령을 작성하는 방법에 대해서는 프린터 제조업체가 제공 한 개발자 설명서를 참조하십시오. 이 명령은 Jinja 템플리트 언어를 사용하여 서버 측에서 렌더링됩니다.,
App,앱,
App Access Key,앱 액세스 키,
App Client ID,응용 프로그램 클라이언트 ID,
App Client Secret,응용 프로그램 클라이언트 비밀,
App Name,앱 이름,
App Secret Key,앱 비밀 키,
Append Emails to Sent Folder,보낸 폴더에 이메일 추가,
Append To,에 추가,
Applicable For,에 적용,
Application Logo,응용 프로그램 로고,
Application Name,응용 프로그램 이름,
Application Version,애플리케이션 버전,
Applied On,적용,
