"""Company History""",&quot;Įmonės istorija&quot;,
"""Team Members"" or ""Management""","""Komandos nariai"" arba ""Tvarkymas""",
&lt;head&gt; HTML,&lt;Head&gt; HTML,
**Currency** Master,** Valiuta ** magistras,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Ruošinių; 1 - Pateikta; 2 - Atšaukta,
0 is highest,0 yra didžiausias,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Šaltinių sąrašas, kuris Klientas ""App turės prieigą prie kai vartotojas leidžia. <br> pvz projektas",
A symbol for this currency. For e.g. $,Šios valiutos simbolis. Pvz. $,
A4,A4,
ALL,Visi,
API,API,
API Access,API prieiga,
API Endpoint,API baigimo taškas,
API Endpoint Args,API pabaigos taškai,
API Key,&quot;API raktas,
API Method,API metodas,
API Secret,API paslaptis,
ASC,ASC,
About Us Settings,Apie mus Nustatymai,
About Us Team Member,Apie mus komandos narys,
Access Key ID,Prieigos rakto ID,
Access Key Secret,Prieigos rakto paslaptis,
Access Log,Prieigos žurnalas,
Access Token,Prieigos raktas,
Access Token URL,Prieigos raktų URL,
Account,sąskaita,
Accounts Manager,sąskaitos direktorius,
Accounts User,Sąskaitos vartotoją,
Action,veiksmas,
Action / Route,Veiksmas / maršrutas,
Action Timeout (Seconds),Veiksmo laikas (sekundės),
Action Type,Veiksmo tipas,
Actions,Veiksmai,
Active,aktyvus,
Active Domains,aktyvios Domenai,
Activity Log,veiklos žurnalas,
Add Container,Pridėti sudėtinį rodinį,
Add Custom Tags,Pridėti pasirinktines žymas,
Add Gray Background,Pridėti pilką foną,
Add Signature,Pridėti parašą,
Add Total Row,Pridėti Bendras Row,
Add Unsubscribe Link,Pridėti Atsisakyti Link,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Pridėta HTML &lt;head&gt; sritį interneto puslapyje, daugiausia naudojama svetainės tikrinimo ir SEO",
Additional Permissions,Papildomi leidimai,
Address,adresas,
Address And Contacts,Adresas ir kontaktai,
Address Line 1,Adreso eilutė 1,
Address Line 2,Adreso eilutė 2,
Address Template,adresas Šablono,
Address Title,adresas Pavadinimas,
Address Type,adreso tipas,
Address and other legal information you may want to put in the footer.,Adresas ir kiti teisinė informacija galite įdėti į apačią.,
Addresses And Contacts,Adresai ir kontaktai,
Adds a custom field to a DocType,Prideda pasirinktinį lauką prie dokumentų tipas,
Administrator,administratorius,
Advanced,pažangus,
Advanced Control,Išplėstinė kontrolė,
Advanced Settings,Pažangūs nustatymai,
After Cancel,Po atšaukimo,
After Delete,Po Trinti,
After Save,Po Išsaugoti,
After Save (Submitted Document),Po išsaugojimo (pateiktas dokumentas),
After Submit,Pateikę,
Aggregate Function Based On,Bendra funkcija pagrįsta,
Alert,Budrus,
Align Labels to the Right,Sureguliuokite etiketes į dešinę,
Align Right,Lygiuoti dešinėn,
All,VISOS,
All Day,Visą dieną,
Allocated To,skirta,
Allot Points To Assigned Users,Skiria taškus paskirtiems vartotojams,
Allow,Leiskite,
Allow Auto Repeat,Leisti automatinį pakartojimą,
Allow Bulk Edit,Leiskite Masiniai Redaguoti,
Allow Comments,leisti komentarus,
Allow Consecutive Login Attempts ,Leisti nuoseklius prisijungimo bandymus,
Allow Delete,Leiskite Ištrinti,
Allow Dropbox Access,Leiskite Dropbox Prisijunkite,
Allow Guest,Leisti svečiui,
Allow Guest to View,Leiskite Svečių to Peržiūrėti,
Allow Guests to Upload Files,Leisti svečiams įkelti failus,
Allow Import (via Data Import Tool),Leisti importuoti (naudojant duomenų importo įrankis),
Allow Incomplete Forms,Leiskite neišsami Forms,
Allow Login After Fail,Leisti prisijungti po failo,
Allow Login using Mobile Number,Leiskite Prisijungti naudojant mobiliojo telefono numerį,
Allow Login using User Name,Leisti prisijungimą naudojant vartotojo vardą,
Allow Modules,Leisti modulius,
Allow Print,Leiskite Spausdinti,
Allow Print for Cancelled,Leiskite Spausdinti už Atšauktas,
Allow Print for Draft,Leiskite Spausdinti projekto,
Allow Read On All Link Options,Leisti skaityti visose nuorodų parinktyse,
Allow Rename,Leiskite Pervardyti,
Allow Roles,Leiskite Vaidmenys,
Allow Self Approval,Leisti savęs patvirtinimą,
Allow approval for creator of the document,Leisti patvirtinti dokumento kūrėją,
Allow document creation via Email,Leisti kurti dokumentą el. Paštu,
Allow events in timeline,Leisti įvykius laiko juostoje,
Allow in Quick Entry,Leisti greituose įrašuose,
Allow on Submit,Leisti Pateikti,
Allow only one session per user,Leisti tik vieną sesiją vienam vartotojui,
Allow page break inside tables,Leiskite puslapio lūžį viduje stalai,
Allow saving if mandatory fields are not filled,"Galimybę sutaupyti, jei privalomi laukai nenurodė",
Allow user to login only after this hour (0-24),Leidžia vartotojui prisijungti tik po šios valandos (0-24),
Allow user to login only before this hour (0-24),Leidžia vartotojui prisijungti tik prieš šią valandą (0-24),
Allowed,leido,
Allowed In Mentions,Leidžiama paminėti,
"Always add ""Draft"" Heading for printing draft documents",Visada pridėti &quot;Juodraštis&quot; kategorija spausdinimo dokumentų projektų,
Amend,Iš dalies pakeisti,
Amended From,Iš dalies pakeistas Nuo,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Piktograma failas su Ico pratęsimo. Turėtų būti 16 × 16 px. Sugeneruoti naudojant favicon generatorius. [Favicon-generator.org],
Analytics,Google Analytics,
Annual,metinis,
Anonymous,Anoniminis,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Gali būti naudojamos bet kokios eilutės spausdintuvo kalbos. Norint rašyti neapdorotas komandas, reikia mokėti spausdintuvo gimtąja kalba, kurį pateikė spausdintuvo gamintojas. Kaip rašyti originalias komandas, skaitykite spausdintuvo gamintojo pateiktame kūrėjo vadove. Šios komandos serverio pusėje pateikiamos naudojant „Jinja“ šabloninę kalbą.",
App,Programos,
App Access Key,Programos prieigos raktas,
App Client ID,Programos Kliento ID,
App Client Secret,Programos Klientas paslaptis,
App Name,"Programos pavadinimas,",
App Secret Key,Programos slaptąraktą,
Append Emails to Sent Folder,Pridėti el. Laiškus prie išsiųstų aplankų,
Append To,pridėti prie,
Applicable For,taikytina,
Application Logo,Programos logotipas,
Application Name,Programos pavadinimas,
Application Version,Programos versija,
Applied On,Taikoma,
Apply Document Permissions,Taikyti dokumentų leidimus,
Apply Only Once,Taikyti tik vieną kartą,
Apply Strict User Permissions,Taikyti griežtą vartotojų teises,
Apply To All Document Types,Taikyti visiems dokumentų tipams,
Apply this rule if the User is the Owner,"Taikyti šią taisyklę, jeigu vartotojas yra savininkas",
Apply this rule only once per document,Taikykite šią taisyklę tik vieną kartą vienam dokumentui,
Appreciation,Vertinimas,
