"""Company History""","""Uzņēmuma vēsture""",
"""Team Members"" or ""Management""","""Team Members"" vai ""Management""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,** Valūtas ** Master,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - projekts; 1 - Iesniegtie; 2 - Anulēts,
0 is highest,0 ir augstākais,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Saraksts no resursiem, kas Klientam App būs pieejama pēc tam, kad lietotājs to atļauj. <br> piemēram, projekts",
A symbol for this currency. For e.g. $,"Simbols šajā valūtā. Lai, piemēram, $$",
A4,A4,
ALL,Viss,
API,API,
API Access,API piekļuve,
API Endpoint,API galapunkts,
API Endpoint Args,API Endpoint Args,
API Key,API atslēga,
API Method,API metode,
API Secret,API Secret,
ASC,ASC,
About Us Settings,Par mums Settings,
About Us Team Member,Par mums komandas biedrs,
Access Key ID,Piekļuves atslēgas ID,
Access Key Secret,Piekļuves atslēgas noslēpums,
Access Log,Piekļuves žurnāls,
Access Token,Access Token,
Access Token URL,Piekļuves koda URL,
Account,Konts,
Accounts Manager,Accounts Manager,
Accounts User,Konti lietotāju,
Action,Darbība,
Action / Route,Darbība / maršruts,
Action Timeout (Seconds),Darbības laiks (sekundes),
Action Type,Darbības veids,
Actions,Darbības,
Active,Aktīvs,
Active Domains,Aktīvie domēni,
Activity Log,Aktivitāte Log,
Add Container,Pievienot konteineru,
Add Custom Tags,Pievienojiet pielāgotus tagus,
Add Gray Background,Pievienojiet pelēko fonu,
Add Signature,Pievienot parakstu,
Add Total Row,Pievienot Kopā rindu,
Add Unsubscribe Link,Pievienot Atrakstīties saiti,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Pievienots HTML in &lt;head&gt; sadaļā mājas lapā, galvenokārt izmanto mājas pārbaudei un SEO",
Additional Permissions,Papildu atļaujas,
Address,Adrese,
Address And Contacts,Adrese un kontakti,
Address Line 1,Adrese Line 1,
Address Line 2,Adrese Line 2,
Address Template,Adrese Template,
Address Title,Adrese sadaļa,
Address Type,Adrese Īpašuma tips,
Address and other legal information you may want to put in the footer.,Adrese un citu juridisko informāciju jūs varat likt kājenē.,
Addresses And Contacts,Adreses un Kontakti,
Adds a custom field to a DocType,"Pievieno pielāgotu lauku, lai DOCTYPE",
Administrator,Administrators,
Advanced,Uzlabots,
Advanced Control,Uzlabota kontrole,
Advanced Settings,Papildu iestatījumi,
After Cancel,Pēc atcelšanas,
After Delete,Pēc Dzēst,
After Save,Pēc Saglabāt,
After Save (Submitted Document),Pēc saglabāšanas (iesniegtais dokuments),
After Submit,Pēc iesniegšanas,
Aggregate Function Based On,Kopējā funkcija balstīta uz,
Alert,Brīdinājums,
Align Labels to the Right,Izlīdziniet iezīmes uz labo pusi,
Align Right,Izlīdzināt pa labi,
All,Visi,
All Day,All Day,
Allocated To,Piešķirti,
Allot Points To Assigned Users,Piešķirtie punkti piešķirtajiem lietotājiem,
Allow,Atļaut,
Allow Auto Repeat,Atļaut automātisko atkārtošanos,
Allow Bulk Edit,Atļaut Lielapjoma rediģēšana,
Allow Comments,Atļaut Komentāri,
Allow Consecutive Login Attempts ,Ļaujiet secīgus pieteikšanās mēģinājumus,
Allow Delete,Atļaut Dzēst,
Allow Dropbox Access,Atļaut Dropbox Access,
Allow Guest,Atļaut viesim,
Allow Guest to View,Ļauj Guest View,
Allow Guests to Upload Files,Atļaut viesiem augšupielādēt failus,
Allow Import (via Data Import Tool),Atļaut Import (izmantojot datu importēšana rīks),
Allow Incomplete Forms,Atļaut Nepilnīga Veidlapas,
Allow Login After Fail,Atļaut ieeju pēc faila,
Allow Login using Mobile Number,Atļaut Login izmantojot mobilā tālruņa numuru,
Allow Login using User Name,"Atļaut ieiet, izmantojot lietotāja vārdu",
Allow Modules,Atļaut moduļus,
Allow Print,atļaut drukāt,
Allow Print for Cancelled,Ļauj Print Anulēts,
Allow Print for Draft,Ļauj Print projektu,
Allow Read On All Link Options,Atļaut lasīt visu saišu opcijas,
Allow Rename,Atļaut Pārdēvēt,
Allow Roles,Atļaut lomas,
Allow Self Approval,Ļaut pašpārliecinātību,
Allow approval for creator of the document,Atļaut apstiprināt dokumenta radītāju,
Allow document creation via Email,Atļaut dokumenta izveidi pa e-pastu,
Allow events in timeline,Atļaut notikumus laika skalā,
Allow in Quick Entry,Atļaut ātrā ierakstā,
Allow on Submit,Atļaut apstiprināšanas,
Allow only one session per user,Atļaut tikai vienu sesiju katram lietotājam,
Allow page break inside tables,Atļaut lappuses pārtraukumu iekšpusē galdiem,
Allow saving if mandatory fields are not filled,Ļautu ietaupīt ja obligātie lauki netiek aizpildītas,
Allow user to login only after this hour (0-24),"Ļauj lietotājam, lai pieteiktos tikai pēc šīs stundas (0-24)",
Allow user to login only before this hour (0-24),"Ļauj lietotājam, lai pieteiktos tikai pirms šīs stundas (0-24)",
Allowed,Atļauta,
Allowed In Mentions,Atļauts pieminēt,
"Always add ""Draft"" Heading for printing draft documents",Vienmēr pievienot &quot;projektu&quot; Pozīcija drukāšanas dokumentu projektiem,
Amend,Grozīt,
Amended From,Grozīts No,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Ikona failu ar ICO pagarinājumu. Vajadzētu būt 16 x 16 px. Radītais izmantojot favicon ģenerators. [favicon-generator.org],
Analytics,Analytics,
Annual,Gada,
Anonymous,Anonīms,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Var izmantot jebkuras uz virknes balstītas printera valodas. Neapstrādātu komandu rakstīšana prasa printera dzimto valodu zināšanas, ko nodrošina printera ražotājs. Lūdzu, skatiet printera ražotāja sniegto izstrādātāja rokasgrāmatu par to, kā rakstīt vietējās komandas. Šīs komandas tiek atveidotas servera pusē, izmantojot Jinja šablonu valodu.",
App,App,
App Access Key,App Access Key,
App Client ID,App Klienta ID,
App Client Secret,App Client Secret,
App Name,App Name,
App Secret Key,App Secret Key,
Append Emails to Sent Folder,Pievienojiet e-pastus nosūtītajai mapei,
Append To,Pievienojiet Lai,
Applicable For,Piemērojami,
Application Logo,Lietojumprogrammas logotips,
Application Name,Lietojumprogrammas nosaukums,
Application Version,Lietojumprogrammas versija,
Applied On,Lietots,
Apply Document Permissions,Lietot dokumentu atļaujas,
Apply Only Once,Piesakies tikai vienu reizi,
Apply Strict User Permissions,Piesakies Stingri lietotāja atļaujas,
Apply To All Document Types,Piemērot visiem dokumentu veidiem,
Apply this rule if the User is the Owner,"Piemēro šo noteikumu, ja Lietotājs ir Īpašnieks",
Apply this rule only once per document,Pielietojiet šo noteikumu tikai vienu reizi dokumentā,
Appreciation,Atzinība,
Archived,Arhivētas,
Arial,Arial,
Assign Condition,Piešķirt nosacījumu,
Assign To Users,Piešķirt lietotājiem,
Assigned,Piešķirts,
Assigned By,Piešķirtie Līdz,
Assigned By Full Name,Piešķirtie Ar Pilns nosaukums,
Assignment,uzdevums,
Assignment Completed,uzdevums Pabeigts,
Assignment Days,Uzdevumu dienas,
Assignment Rule,Piešķiršanas noteikums,
Assignment Rule Day,Piešķiršanas noteikumu diena,
Assignment Rule User,Piešķiršanas noteikuma lietotājs,
Assignment Rules,Piešķiršanas noteikumi,
Assignments,Uzdevumi,
Attach,Pievienot,
Attach Image,Pievienojiet attēlu,
Attach Print,Pievienojiet Drukāt,
Attached File,Pievienotais fails,
Attached To DocType,Attached Lai DOCTYPE,
Attached To Field,Pievienots laukam,
Attached To Name,Pievienots nosaukums,
Attachment,Pieķeršanās,
Attachment Limit (MB),Pielikums Limit (MB),
Attachment Link,Pielikuma saite,
Attachment Removed,Pielikums Noņemts,
Attachments,Pielikumi,
Auth URL Data,Auth URL dati,
Authentication,Autentifikācija,
Author,autors,
Authorization Code,Autorizācijas kods,
Authorize API Indexing  Access,Autorizēt API indeksēšanas piekļuvi,
Authorize Google Calendar Access,Autorizēt piekļuvi Google kalendāram,
Authorize Google Contacts Access,Autorizēt piekļuvi Google kontaktpersonām,
Authorize Google Drive Access,Autorizējiet piekļuvi Google diskam,
Authorize URL,Atļaut URL,
Authorized,atļauts,
Auto,auto,
Auto Email Report,Auto Email pārskats,
Auto Name,Auto nosaukums,
Auto Repeat,Auto atkārtot,
Auto Reply Message,Auto Atbildēt Message,
Automatically Assign Documents to Users,Automātiski piešķirt dokumentus lietotājiem,
Automation,Automatizācija,
Avatar,Avatar,
Average,Vidēji,
Awaiting Password,Gaida paroli,
Awaiting password,Gaida Paroles,
BCC,BCC,
Background Color,Fona krāsa,
Background Workers,fona Workers,
Backup Details,Informācija par dublēšanu,
Backup Files,Dublēšanas faili,
Backup Folder ID,Mapes dublējuma ID,
Backup Folder Name,Dublēt mapes nosaukumu,
Backup Frequency,Backup Frequency,
Backup public and private files along with the database.,Dublējiet publiskos un privātos failus kopā ar datu bāzi.,
Backups,backups,
Banner,Karogs,
Banner HTML,Banner HTML,
Banner Image,Banner Image,
Banner is above the Top Menu Bar.,Banner ir virs augšējā izvēlnes joslā.,
Bar,Bārs,
Barcode,Svītrkods,
