"""Company History""",&quot;Историја на претпријатието&quot;,
"""Team Members"" or ""Management""",&quot;Членови на тимот&quot; или &quot;менаџмент&quot;,
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,** ** Валута мајстор,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Предлог; 1 - Поднесени; 2 - Откажани,
0 is highest,0 е највисок,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Список на ресурсите кои клиентот стан ќе имаат пристап до по корисник го дозволува тоа. <br> на пр проект,
A symbol for this currency. For e.g. $,"Симбол за оваа валута. На пример, $",
A4,А4,
ALL,СИТЕ,
API,API,
API Access,Пристап до API,
API Endpoint,Крајна точка на API,
API Endpoint Args,АПИ на крајните точки,
API Key,API клуч,
API Method,АПИ метод,
API Secret,API тајна,
ASC,ASC,
About Us Settings,За нас Settings,
About Us Team Member,За нас член на тимот,
Access Key ID,Пристапете на клучниот ID,
Access Key Secret,Пристап до тајната на клучот,
Access Log,Дневник за пристап,
Access Token,Пристап знак,
Access Token URL,Пристапете до URL на токенот,
Account,Сметка,
Accounts Manager,Менаџер сметки,
Accounts User,Кориснички сметки,
Action,Акција,
Action / Route,Акција / пат,
Action Timeout (Seconds),Времетраење на дејството (секунди),
Action Type,Вид на акција,
Actions,Активности,
Active,Активен,
Active Domains,активните домени,
Activity Log,Активност Влез,
Add Container,Додадете сад,
Add Custom Tags,Додадете прилагодени ознаки,
Add Gray Background,Додадете сива позадина,
Add Signature,Додај Потпис,
Add Total Row,Додај Вкупно ред,
Add Unsubscribe Link,Додади отпишување линк,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Додадени HTML во &lt;head&gt; секција на веб-страница, се користи првенствено за верификација вебсајт и SEO",
Additional Permissions,Дополнителни дозволи,
Address,Адреса,
Address And Contacts,Адреса и контакти,
Address Line 1,Адреса Линија 1,
Address Line 2,Адреса Линија 2,
Address Template,Адреса Шаблон,
Address Title,Наслов адреса,
Address Type,Тип адреса,
Address and other legal information you may want to put in the footer.,Адреса и други правни информации можеби ќе сакате да се стави во подножјето.,
Addresses And Contacts,Адреси и контакти,
Adds a custom field to a DocType,Додава сопствен поле на DOCTYPE,
Administrator,Администратор,
Advanced,Напредно,
Advanced Control,Напредна контрола,
Advanced Settings,Напредни поставувања,
After Cancel,По откажете,
After Delete,По избришете,
After Save,По зачувување,
After Save (Submitted Document),По зачувување (доставен документ),
After Submit,По поднесување,
Aggregate Function Based On,Агрегатна функција заснована на,
Alert,Предупредување,
Align Labels to the Right,Порамни етикети на десно,
Align Right,Порамнете го десно,
All,Сите,
All Day,Цел ден,
Allocated To,Наменети за,
Allot Points To Assigned Users,Доделување на поени на доделени корисници,
Allow,Дозволи,
