"""Company History""",&quot;Sejarah Syarikat&quot;,
"""Team Members"" or ""Management""",&quot;Ahli-ahli Pasukan&quot; atau &quot;Pengurusan&quot;,
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,** Mata Wang ** Master,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Draf; 1 - Dihantar; 2 - Dibatalkan,
0 is highest,0 adalah paling tinggi,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Senarai sumber mana App Pelanggan akan mempunyai akses kepada selepas pengguna membenarkannya. <br> contohnya projek,
A symbol for this currency. For e.g. $,Satu simbol untuk mata wang ini. Contohnya: $,
A4,A4,
ALL,SEMUA,
API,API,
API Access,Akses API,
API Endpoint,Titik Akhir API,
API Endpoint Args,API Endpoint Args,
API Key,Kunci API,
API Method,Kaedah API,
API Secret,API Secret,
ASC,ASC,
About Us Settings,Tetapan Mengenai Kami,
About Us Team Member,Ahli Pasukan Mengenai Kami,
Access Key ID,ID Kunci Akses,
Access Key Secret,Akses Rahsia Utama,
Access Log,Log Masuk,
Access Token,Token Akses,
Access Token URL,URL Token Akses,
Account,Akaun,
Accounts Manager,Pengurus Akaun-akaun,
Accounts User,pengguna Akaun-akaun,
Action,Tindakan,
Action / Route,Tindakan / Laluan,
Action Timeout (Seconds),Timeout Tindakan (Seconds),
Action Type,Jenis Tindakan,
Actions,Tindakan-tindakan,
Active,Aktif,
Active Domains,Domain Active,
Activity Log,Log Aktiviti,
Add Container,Tambah Bekas,
Add Custom Tags,Tambahkan Teg Tersuai,
Add Gray Background,Tambah Latar Belakang Kelabu,
Add Signature,Tambah Tandatangan,
Add Total Row,Tambah Jumlah Row,
Add Unsubscribe Link,Menambah Unsubscribe Link,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","HTML ditambah dalam &lt;head&gt; halaman web, terutamanya digunakan untuk pengesahan laman web dan SEO",
Additional Permissions,Kebenaran tambahan,
Address,Alamat,
Address And Contacts,Alamat Dan Kenalan,
Address Line 1,Alamat Baris 1,
Address Line 2,Alamat 2,
Address Template,Templat Alamat,
Address Title,Alamat Tajuk,
Address Type,Alamat Jenis,
Address and other legal information you may want to put in the footer.,Alamat dan maklumat undang-undang lain yang anda mungkin ingin untuk dimasukkan ke dalam nota kaki.,
Addresses And Contacts,Alamat Dan Kenalan,
Adds a custom field to a DocType,Menambah medan tersuai untuk DOCTYPE yang,
Administrator,Pentadbir,
Advanced,Advanced,
Advanced Control,Kawalan Lanjutan,
Advanced Settings,Tetapan lanjutan,
After Cancel,Selepas Batal,
After Delete,Selepas Padam,
After Save,Selepas Simpan,
After Save (Submitted Document),Selepas Simpan (Dokumen Dihantar),
After Submit,Selepas Hantar,
Aggregate Function Based On,Fungsi Agregat Berdasarkan,
Alert,Amaran,
Align Labels to the Right,Align Label ke Kanan,
Align Right,Sejajarkan Kanan,
All,Semua,
All Day,All Day,
Allocated To,Diperuntukkan Untuk,
