"""Company History""",Historia firmy,
"""Team Members"" or ""Management""",Członkowie zespołu lub Zarząd,
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,** Waluta ** Główna,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Projekt; 1 - Wysłane; 2 - Anulowane,
0 is highest,0 jest najwyższą wartością,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Wykaz środków, które App klient będzie miał dostęp do gdy użytkownik na to pozwala. <br> np projekt",
A symbol for this currency. For e.g. $,Symbol waluty. Np. $,
A4,A4,
ALL,WSZYSTKO,
API,API,
API Access,Dostęp do API,
API Endpoint,Punkt końcowy API,
API Endpoint Args,Argumenty API punktu końcowego,
API Key,Klucz API,
API Method,Metoda API,
API Secret,Tajny API,
ASC,ASC,
About Us Settings,O Nas - Ustawienia,
About Us Team Member,O Nas Członek Zespołu,
Access Key ID,Uzyskaj klucz ID,
Access Key Secret,Dostęp do klucza tajnego,
Access Log,Dziennik dostępu,
Access Token,Dostęp za pomocą Tokenu,
Access Token URL,Uzyskaj dostęp do adresu URL tokenu,
Account,Konto,
Accounts Manager,Specjalista ds. Sprzedaży,
Accounts User,Konta Użytkownika,
Action,Działanie,
Action / Route,Akcja / Trasa,
Action Timeout (Seconds),Limit czasu akcji (sekundy),
Action Type,Rodzaj działania,
Actions,działania,
Active,Aktywny,
Active Domains,Domeny aktywne,
Activity Log,Dziennik aktywności,
Add Container,Dodaj kontener,
Add Custom Tags,Dodaj niestandardowe tagi,
Add Gray Background,Dodaj szare tło,
Add Signature,Dodaj podpis,
Add Total Row,Dodaj całkowitą liczbę wierszy,
Add Unsubscribe Link,Dodaj link do usuwania subskrypcji,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Dodano HTML w sekcji &lt;head&gt; strony internetowej, używane głównie do weryfikacji stron internetowych i SEO",
Additional Permissions,Dodatkowe uprawnienia,
Address,Adres,
Address And Contacts,Adres i kontakty,
Address Line 1,Pierwszy wiersz adresu,
Address Line 2,Drugi wiersz adresu,
Address Template,Szablon adresu,
Address Title,Tytuł adresu,
Address Type,Typ adresu,
