"""Company History""","""História da Empresa""",
"""Team Members"" or ""Management""","""Membros da Equipa"" ou ""Gestão""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,**Moeda** Principal,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Rascunho; 1 - Enviado; 2 - Cancelado,
0 is highest,0 é maior,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Uma lista de recursos que o aplicativo cliente terá acesso a depois que o usuário permita. <br> por exemplo, do projeto",
A symbol for this currency. For e.g. $,Um símbolo para esta moeda. Por exemplo: R$,
A4,A4,
ALL,Tudo,
API,API,
API Access,Acesso API,
API Endpoint,API Endpoint,
API Endpoint Args,API Endpoint Args,
API Key,Chave da API,
API Method,Método API,
API Secret,Segredo da API,
ASC,ASC,
About Us Settings,Configurações do Quem Somos,
About Us Team Member,Sobre Nós - Membros da Equipe,
Access Key ID,ID da chave de acesso,
Access Key Secret,Segredo da chave de acesso,
Access Log,Log de acesso,
Access Token,Token de Acesso,
Access Token URL,URL do Token de Acesso,
Account,Conta,
Accounts Manager,Gerente de Contas,
Accounts User,Usuário de Contas,
Action,Ação,
Action / Route,Ação / Rota,
Action Timeout (Seconds),Tempo Limite de Ação (Segundos),
Action Type,Tipo de acão,
Actions,Ações,
Active,Ativo,
Active Domains,Domínios ativos,
Activity Log,Log de Atividade,
Add Container,Adicionar recipiente,
Add Custom Tags,Adicionar tags personalizadas,
Add Gray Background,Adicionar fundo cinza,
Add Signature,Adicionar Assinatura,
Add Total Row,Adicionar Linha de Total,
Add Unsubscribe Link,Adicionar link para cancelar inscrição,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","HTML adicionado na seção &lt;head&gt; da página web, principalmente utilizadas para a verificação do site e SEO",
Additional Permissions,Permissões Adicionais,
Address,Endereço,
Address And Contacts,Endereços e Contatos,
Address Line 1,Endereço,
Address Line 2,Complemento,
Address Template,Modelo de Endereço,
Address Title,Título do Endereço,
Address Type,Tipo de Endereço,
Address and other legal information you may want to put in the footer.,Endereço e outras informações legais que você pode querer colocar no rodapé.,
Addresses And Contacts,Endereços e Contatos,
Adds a custom field to a DocType,Adiciona um campo personalizado para um Tipo de Documento (DocType),
Administrator,Administrador,
Advanced,Avançado,
Advanced Control,Controle Avançado,
Advanced Settings,Configurações Avançadas,
After Cancel,Após Cancelar,
After Delete,Após Excluir,
After Save,Após salvar,
After Save (Submitted Document),Após salvar (documento enviado),
After Submit,Após o envio,
Aggregate Function Based On,Função agregada com base em,
Alert,Alerta,
Align Labels to the Right,Alinhar etiquetas à direita,
Align Right,Alinhar à direita,
All,Todos,
All Day,Dia Inteiro,
Allocated To,Atribuído a,
Allot Points To Assigned Users,Atribuir pontos aos usuários atribuídos,
Allow,Permitir,
Allow Auto Repeat,Permitir repetição automática,
Allow Bulk Edit,Permitir edição em massa,
Allow Comments,Permitir Comentários,
Allow Consecutive Login Attempts ,Permitir tentativas de login consecutivas,
Allow Delete,Permitir Excluir,
Allow Dropbox Access,Permitir Acesso Dropbox,
Allow Guest,Permitir convidado,
Allow Guest to View,Permitir visualização de convidado,
Allow Guests to Upload Files,Permitir que os convidados façam upload de arquivos,
Allow Import (via Data Import Tool),Permitir Importação (via Data Import Tool),
Allow Incomplete Forms,Permitir Formulários Incompletos,
Allow Login After Fail,Permitir login após falha,
Allow Login using Mobile Number,Permitir login usando o número de celular,
Allow Login using User Name,Permitir Login usando o nome de usuário,
Allow Modules,Permitir Módulos,
Allow Print,Permitir Impressão,
Allow Print for Cancelled,Permitir impressão para cancelado,
Allow Print for Draft,Permitir impressão para rascunho,
Allow Read On All Link Options,Permitir leitura em todas as opções de link,
Allow Rename,Permitir Renomear,
Allow Roles,Permitir Funções,
Allow Self Approval,Permitir auto-aprovação,
Allow approval for creator of the document,Permitir aprovação para o criador do documento,
Allow document creation via Email,Permitir a criação de documentos por e-mail,
Allow events in timeline,Permitir eventos na linha do tempo,
Allow in Quick Entry,Permitir na entrada rápida,
Allow on Submit,Permitir ao Enviar,
Allow only one session per user,Permitir apenas uma sessão por usuário,
Allow page break inside tables,Permitir quebra de página dentro de tabelas,
Allow saving if mandatory fields are not filled,Permitir salvar se os campos obrigatórios não são preenchidas,
Allow user to login only after this hour (0-24),Permitir que o usuário faça o login somente após este horário (0-24),
