"""Company History""","""História da Empresa""",
"""Team Members"" or ""Management""","""Membros da Equipa"" ou ""Gestão""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,Definidor de **Moeda**,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Rascunho; 1 - Enviado; 2 - Cancelado,
0 is highest,0 é maior,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Uma lista de recursos que o aplicativo cliente terá acesso a depois que o usuário permita. <br> por exemplo, do projeto",
A symbol for this currency. For e.g. $,Um símbolo para esta moeda. Por ex: $,
A4,A4,
ALL,Tudo,
API,API,
API Access,Acesso API,
API Endpoint,Ponto final da API,
API Endpoint Args,API Endpoint Args,
API Key,Key API,
API Method,Método API,
API Secret,API Segredo,
ASC,ASC,
About Us Settings,Definições de Sobre Nós,
About Us Team Member,Sobre Nós - Membros de Equipa,
Access Key ID,ID da chave de acesso,
Access Key Secret,Segredo da chave de acesso,
Access Log,Log de acesso,
Access Token,Símbolo de Acesso,
Access Token URL,URL de Token de Acesso,
Account,Conta,
Accounts Manager,Gestor de Contas,
Accounts User,Utilizador de Contas,
Action,Ação,
Action / Route,Ação / Rota,
Action Timeout (Seconds),Tempo Limite de Ação (Segundos),
Action Type,Tipo de acão,
Actions,Ações,
Active,Ativo,
Active Domains,Domínios ativos,
Activity Log,Registo de Atividade,
Add Container,Adicionar recipiente,
Add Custom Tags,Adicionar tags personalizadas,
Add Gray Background,Adicionar fundo cinza,
Add Signature,Adicionar Assinatura,
Add Total Row,Adicionar Linha Inteira,
Add Unsubscribe Link,Adicionar Unsubscribe link,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","HTML adicionado na seção do &lt;livro&gt; da página web, utilizada principalmente para a verificação do website e SEO",
Additional Permissions,Permissões Adicionais,
Address,Endereço,
Address And Contacts,Endereço e contatos,
Address Line 1,Endereço Linha 1,
Address Line 2,Endereço Linha 2,
Address Template,Modelo de Endereço,
Address Title,Título do Endereço,
Address Type,Tipo de Endereço,
Address and other legal information you may want to put in the footer.,Endereço e informações jurídicas que pode desejar colocar no rodapé.,
Addresses And Contacts,Endereços e contatos,
Adds a custom field to a DocType,Adiciona um campo personalizado a um DocType,
Administrator,Administrador,
Advanced,Avançado,
Advanced Control,Controle Avançado,
Advanced Settings,Configurações avançadas,
After Cancel,Após Cancelar,
After Delete,Após Excluir,
After Save,Após salvar,
After Save (Submitted Document),Após salvar (documento enviado),
After Submit,Após o envio,
Aggregate Function Based On,Função agregada com base em,
Alert,Alerta,
Align Labels to the Right,Alinhar etiquetas à direita,
Align Right,Alinhar à direita,
All,Todos,
All Day,Dia Inteiro,
Allocated To,Atribuídos A,
Allot Points To Assigned Users,Atribuir pontos aos usuários atribuídos,
Allow,Permitir,
Allow Auto Repeat,Permitir repetição automática,
Allow Bulk Edit,Permitir edição em massa,
Allow Comments,Permitir Comentários,
Allow Consecutive Login Attempts ,Permitir tentativas de login consecutivas,
Allow Delete,Permitir Eliminação,
Allow Dropbox Access,Permitir  à Dropbox,
Allow Guest,Permitir convidado,
Allow Guest to View,Permitir convidado para Ver,
Allow Guests to Upload Files,Permitir que os convidados façam upload de arquivos,
Allow Import (via Data Import Tool),Permitir Importação (via Data Import Tool),
Allow Incomplete Forms,Permitir formulários incompletos,
Allow Login After Fail,Permitir login após falha,
Allow Login using Mobile Number,Permitir login usando o número de celular,
Allow Login using User Name,Permitir Login usando o nome de usuário,
Allow Modules,Permitir módulos,
Allow Print,permitir impressão,
Allow Print for Cancelled,Permitir Impressão para Cancelado,
Allow Print for Draft,Permitir Impressão para Rascunho,
Allow Read On All Link Options,Permitir leitura em todas as opções de link,
Allow Rename,Permitir Alterar Nome,
Allow Roles,permitir Roles,
Allow Self Approval,Permitir auto-aprovação,
Allow approval for creator of the document,Permitir aprovação para o criador do documento,
Allow document creation via Email,Permitir a criação de documentos por e-mail,
Allow events in timeline,Permitir eventos na linha do tempo,
Allow in Quick Entry,Permitir na entrada rápida,
Allow on Submit,Permitir ao Enviar,
Allow only one session per user,Permitir somente uma sessão por utilizador,
Allow page break inside tables,Permitir quebra de página dentro de tabelas,
Allow saving if mandatory fields are not filled,Permitir salvar se os campos obrigatórios não são preenchidas,
