"""Company History""","""Istoricul companiei""",
"""Team Members"" or ""Management""","""Membrii echipei"" sau ""Management""",
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,Master **Monedă**,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Draft; 1 - Trimis; 2 - Anulat,
0 is highest,0 este cel mai mare,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"O listă de resurse pe care App Clientul va avea acces la după ce utilizatorul permite acest lucru. <br> de exemplu, proiect",
A symbol for this currency. For e.g. $,"Un simbol pentru această monedă. De exemplu, $",
A4,A4,
ALL,Tot,
API,API-ul,
API Access,Acces API,
API Endpoint,API Endpoint,
API Endpoint Args,API Endpoint Args,
API Key,Cheie API,
API Method,Metoda API,
API Secret,API-ul Secret,
ASC,ASC,
About Us Settings,"Setări ""Despre noi''",
About Us Team Member,"Membru echipă ""Despre noi""",
Access Key ID,ID-ul cheii de acces,
Access Key Secret,Accesează cheia secretă,
Access Log,Jurnal de acces,
Access Token,Acces Token,
Access Token URL,Accesați URL-ul Token,
Account,Cont,
Accounts Manager,Manager de Conturi,
Accounts User,Conturi de utilizator,
Action,Acțiune:,
Action / Route,Acțiune / Traseu,
Action Timeout (Seconds),Acțiune de expirare (secunde),
Action Type,Tipul de acțiune,
Actions,Acțiuni,
Active,Activ,
Active Domains,Domenii active,
Activity Log,Jurnal Activitate,
Add Container,Adăugați un container,
Add Custom Tags,Adăugați etichete personalizate,
Add Gray Background,Adăugați fundal gri,
Add Signature,Adăugați Semnătură,
Add Total Row,Adăugă Rând Total,
Add Unsubscribe Link,Adăugă Legătură Dezabonare,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","HTML adăugat în secțiunea  a paginii web, folosit în principal pentru verificarea site-ului și SEO",
Additional Permissions,Permisiuni suplimentare,
Address,Adresă,
Address And Contacts,Adresă și contacte,
Address Line 1,Adresă Linie 1,
Address Line 2,Adresă Linie 2,
Address Template,Model adresă,
Address Title,Titlu adresă,
Address Type,Tip adresă,
Address and other legal information you may want to put in the footer.,Adresă și alte informații juridice pe care aţi dori să le poziţionaţi în nota de subsol.,
Addresses And Contacts,Adrese și persoane de contact,
Adds a custom field to a DocType,Adaugă un câmp personalizat unui DocType,
Administrator,Administrator,
Advanced,Avansat,
Advanced Control,Control avansat,
Advanced Settings,Setari avansate,
After Cancel,După anulare,
After Delete,După Ștergere,
After Save,După Salvare,
After Save (Submitted Document),După salvare (document trimis),
After Submit,După Trimitere,
Aggregate Function Based On,Funcție agregată bazată pe,
Alert,Alerta,
Align Labels to the Right,Aliniați etichetele la dreapta,
Align Right,Aliniați dreapta,
All,Toate,
All Day,Toată ziua,
Allocated To,Alocate,
Allot Points To Assigned Users,Alocați puncte utilizatorilor alocați,
Allow,Permite,
Allow Auto Repeat,Permiteți repetarea automată,
Allow Bulk Edit,Permiteți editarea în bloc,
Allow Comments,Permiteți comentarii,
Allow Consecutive Login Attempts ,Permiteți încercări de conectare consecutive,
Allow Delete,Permiteți operaţii de ştergere,
Allow Dropbox Access,Permiteţi accesul Dropbox,
Allow Guest,Permiteți oaspeților,
Allow Guest to View,Se lasă la View oaspeți,
