"""Company History""",&quot;Amateka y&#39;Isosiyete&quot;,
"""Team Members"" or ""Management""",&quot;Abagize Itsinda&quot; cyangwa &quot;Ubuyobozi&quot;,
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,** Ifaranga ** Umwigisha,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Inyandiko; 1 - Yatanzwe; 2 - Yahagaritswe,
0 is highest,0 ni hejuru,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Urutonde rwibikoresho abakiriya ba porogaramu bazabona nyuma yuko umukoresha abimwemereye.<br> urugero umushinga,
A symbol for this currency. For e.g. $,Ikimenyetso cy&#39;ifaranga. Kurugero $,
A4,A4,
ALL,BYOSE,
API,API,
API Access,API Kubona,
API Endpoint,API Iherezo,
API Endpoint Args,API Impera,
API Key,Urufunguzo rwa API,
API Method,Uburyo bwa API,
API Secret,Ibanga rya API,
ASC,ASC,
About Us Settings,Ibyerekeye Igenamiterere,
About Us Team Member,Ibyerekeye Twebwe Abagize Ikipe,
Access Key ID,Kugera ID ID,
Access Key Secret,Kugera Ibanga ry&#39;ingenzi,
Access Log,Kwinjira,
Access Token,Kwinjira,
Access Token URL,Injira URL yaciwe,
Account,Konti,
Accounts Manager,Umuyobozi wa Konti,
Accounts User,Umukoresha Konti,
Action,Igikorwa,
Action / Route,Igikorwa / Inzira,
Action Timeout (Seconds),Igihe cyateganijwe (Amasegonda),
Action Type,Ubwoko bwibikorwa,
Actions,Ibikorwa,
Active,Bikora,
Active Domains,Imikorere Ifatika,
Activity Log,Logi y&#39;ibikorwa,
Add Container,Ongeramo Ibikoresho,
Add Custom Tags,Ongeraho Tagi,
Add Gray Background,Ongeraho Imvi,
Add Signature,Ongeraho Umukono,
Add Total Row,Ongeraho Umurongo wose,
Add Unsubscribe Link,Ongeraho Kwiyandikisha,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Wongeyeho HTML mugice cya &lt;head&gt; igice cyurubuga, cyane cyane ikoreshwa mugusuzuma urubuga na SEO",
Additional Permissions,Uruhushya rwinyongera,
Address,Aderesi,
Address And Contacts,Aderesi,
Address Line 1,Umurongo wa aderesi 1,
Address Line 2,Umurongo wa aderesi 2,
Address Template,Inyandikorugero ya aderesi,
Address Title,Umutwe wa Aderesi,
Address Type,Ubwoko bwa Aderesi,
Address and other legal information you may want to put in the footer.,Aderesi hamwe nandi makuru yemewe ushobora gushaka gushyira mumutwe.,
Addresses And Contacts,Aderesi na Guhuza,
Adds a custom field to a DocType,Ongeraho umurima wihariye kuri DocType,
Administrator,Umuyobozi,
Advanced,Yateye imbere,
Advanced Control,Igenzura ryambere,
Advanced Settings,Igenamiterere,
After Cancel,Nyuma yo guhagarika,
After Delete,Nyuma yo Gusiba,
After Save,Nyuma yo kuzigama,
After Save (Submitted Document),Nyuma yo kuzigama (Inyandiko yatanzwe),
After Submit,Nyuma yo Kohereza,
Aggregate Function Based On,Igiteranyo Igikorwa gishingiye,
Alert,Imenyesha,
Align Labels to the Right,Huza ibirango iburyo,
Align Right,Huza Iburyo,
All,Byose,
