"""Company History""",&quot;Historia e kompanisë&quot;,
"""Team Members"" or ""Management""",&quot;Anëtarët e ekipit&quot; ose &quot;Menaxhimi&quot;,
&lt;head&gt; HTML,&lt;head&gt; HTML,
**Currency** Master,** Valuta ** Master,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Draft; 1 - Dërguar; 2 - Anulluar,
0 is highest,0 është më i lartë,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Një listë e burimeve të cilat Klienti App do të kenë qasje për të, pasi përdoruesit e lejon atë. <br> p.sh. projekti",
A symbol for this currency. For e.g. $,Një simbol për këtë monedhë. Për shembull $,
A4,A4,
ALL,Të gjithë,
API,API,
API Access,Hyrja në API,
API Endpoint,API Endpoint,
API Endpoint Args,API Endpoint Args,
API Key,API Key,
API Method,Metoda API,
API Secret,API Secret,
ASC,ASC,
About Us Settings,Rreth Nesh Settings,
About Us Team Member,Rreth Nesh Ekipi Anëtar,
Access Key ID,Identifikimi i çelësit të qasjes,
Access Key Secret,Sekreti kryesor i hyrjes,
Access Log,Regjistri i hyrjes,
Access Token,Qasja Token,
Access Token URL,URL e Tokës së Qasjes,
Account,llogari,
Accounts Manager,Llogaritë Menaxher,
Accounts User,Llogaritë përdoruesin,
Action,Veprim,
Action / Route,Aksioni / Rruga,
Action Timeout (Seconds),Koha e Veprimit (Sekonda),
Action Type,Lloji i veprimit,
Actions,Veprimet,
Active,Aktiv,
Active Domains,Fushat aktive,
Activity Log,Aktiviteti Identifikohu,
Add Container,Shtoni kontejnerin,
Add Custom Tags,Shto etiketa të personalizuara,
Add Gray Background,Shto sfond gri,
Add Signature,Shto Nënshkrimi,
Add Total Row,Shto Total Row,
Add Unsubscribe Link,Shto Unsubscribe Lidhje,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Shtuar HTML në &lt;head&gt; seksion i faqes së internetit, e përdorur kryesisht për verifikimin e internetit dhe SEO",
Additional Permissions,Lejet shtesë,
Address,Adresë,
Address And Contacts,Adresa dhe Kontaktet,
Address Line 1,Adresa Line 1,
Address Line 2,Adresa Line 2,
Address Template,Adresa Template,
Address Title,Adresa Titulli,
Address Type,Adresa Type,
Address and other legal information you may want to put in the footer.,Adresën dhe informata tjera ligjore ju mund të dëshironi për të vënë në futboll.,
Addresses And Contacts,Adresat dhe kontaktet,
Adds a custom field to a DocType,Shton një fushë me porosi për një DOCTYPE,
Administrator,Administrator,
Advanced,I përparuar,
Advanced Control,Kontroll i avancuar,
Advanced Settings,Cilësimet e përparuara,
After Cancel,Pas Anulimit,
After Delete,Pas Fshirjes,
After Save,Pas Ruajtjes,
After Save (Submitted Document),Pas ruajtjes (Dokumenti i Dorëzuar),
After Submit,Pas Paraqitjes,
Aggregate Function Based On,Funksioni i përgjithshëm bazuar në,
Alert,Alert,
Align Labels to the Right,Align Etiketa në të Drejtën,
Align Right,Align Right,
All,ALL,
All Day,Të gjitha Day,
Allocated To,Ndarë për,
Allot Points To Assigned Users,Ndarja e pikave për përdoruesit e caktuar,
Allow,lejoj,
Allow Auto Repeat,Lejoni Përsëritjen e Auto,
Allow Bulk Edit,Lejo Edit Bulk,
Allow Comments,Lejo Komente,
Allow Consecutive Login Attempts ,Lejo përpjekjet e hyrjes në rradhë,
Allow Delete,Lejo Fshij,
Allow Dropbox Access,Lejo Dropbox Qasja,
Allow Guest,Lejoni Vizitorin,
Allow Guest to View,Lejo Guest të Shiko,
Allow Guests to Upload Files,Lejoni vizitorët të ngarkojnë skedarët,
Allow Import (via Data Import Tool),Lejo Import (nëpërmjet të dhënave të import Tool),
Allow Incomplete Forms,Lejo Format jo i plotë,
Allow Login After Fail,Lejo hyrjen pas dështimit,
Allow Login using Mobile Number,Lejo Login duke përdorur Numri Mobile,
Allow Login using User Name,Lejo hyrjen duke përdorur emrin e përdoruesit,
Allow Modules,Lejoni modulet,
Allow Print,Lejo Printo,
Allow Print for Cancelled,Lejo Print për Anullohen,
Allow Print for Draft,Lejo Print për Projekt-,
Allow Read On All Link Options,Lejo leximin e të gjitha opsioneve të lidhjes,
Allow Rename,Lejo Rename,
Allow Roles,Lejo Rolet,
Allow Self Approval,Lejo Vetë Miratimin,
Allow approval for creator of the document,Lejo miratimin për krijuesin e dokumentit,
Allow document creation via Email,Lejoni krijimin e dokumentit përmes emailit,
Allow events in timeline,Lejo ngjarjet në afatet kohore,
Allow in Quick Entry,Lejo hyrjen e shpejtë,
Allow on Submit,Lejo në Submit,
Allow only one session per user,Lejo vetëm një seancë për përdorues,
Allow page break inside tables,Lejo pushim faqe brenda tabelave,
Allow saving if mandatory fields are not filled,Lejo kursyer nëse fushat e detyrueshme nuk janë plotësuar,
Allow user to login only after this hour (0-24),Lejo përdoruesit të identifikoheni vetëm pas kësaj ore (0-24),
Allow user to login only before this hour (0-24),Lejo përdoruesit të identifikoheni vetëm para në këtë orë (0-24),
Allowed,I lejuar,
Allowed In Mentions,Lejohet në thënie,
"Always add ""Draft"" Heading for printing draft documents",Gjithmonë shtoni &quot;Draft&quot; Shkon për të printuar dokumente draft,
Amend,Ndryshoj,
Amended From,Ndryshuar Nga,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Një ikonë skedar me .ico extension. Duhet të jetë 16 x 16 px. Prodhuar duke përdorur një gjenerator Favicon. [favicon-generator.org],
Analytics,analitikë,
Annual,Vjetor,
Anonymous,anonim,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,Anydo gjuhë e printerit me bazë teli mund të përdoret. Shkrimi i komandave të papërpunuara kërkon njohuri të gjuhës amtare të printerit të siguruar nga prodhuesi i printerit. Ju lutemi referojuni manualit të zhvilluesit të dhënë nga prodhuesi i printerit se si të shkruajnë komandat e tyre amtare. Këto komanda jepen në anën e serverit duke përdorur gjuhën e përkohshme të Jinja.,
App,App,
App Access Key,App Access Key,
App Client ID,App Klienti ID,
App Client Secret,App Klienti Secret,
App Name,Emri app,
App Secret Key,App Key Secret,
Append Emails to Sent Folder,Shtojni postë elektronike në Dosjen e Dërguar,
Append To,Append Për,
Applicable For,Të zbatueshme për,
Application Logo,Logoja e aplikimit,
Application Name,Emri i aplikacionit,
Application Version,Versioni i aplikacionit,
Applied On,Aplikuar më,
Apply Document Permissions,Aplikoni Lejet e Dokumentit,
Apply Only Once,Aplikoni vetëm një herë,
Apply Strict User Permissions,Aplikoni Permissions rreptë Përdoruesit,
