"""Company History""",&quot;Historia ya Kampuni&quot;,
"""Team Members"" or ""Management""",&quot;Wanachama wa Timu&quot; au &quot;Usimamizi&quot;,
&lt;head&gt; HTML,&lt;kichwa&gt; HTML,
**Currency** Master,** Fedha ** Mwalimu,
0 - Draft; 1 - Submitted; 2 - Cancelled,Mchapishaji; 1 - Iliyotolewa; 2 - Imefunguliwa,
0 is highest,0 ni ya juu,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Orodha ya rasilimali ambazo Programu ya Mteja itastahili baada ya mtumiaji kuruhusu. <br> mfano mradi,
A symbol for this currency. For e.g. $,Ishara kwa sarafu hii. Kwa mfano $,
A4,A4,
ALL,Wote,
API,API,
API Access,Ufikiaji wa API,
API Endpoint,Mwisho wa API,
API Endpoint Args,API Endpoint Args,
API Key,Muhimu wa API,
API Method,Njia ya API,
API Secret,Siri la API,
ASC,ASC,
About Us Settings,Kuhusu sisi Mipangilio,
About Us Team Member,Kuhusu sisi Mwanachama wa Timu,
Access Key ID,Fungua Kitambulisho cha Muhimu,
Access Key Secret,Fikia Siri muhimu,
Access Log,Ingia Ingia,
Access Token,Tokia ya Upatikanaji,
Access Token URL,Futa URL ya Tokeni,
Account,Akaunti,
Accounts Manager,Meneja wa Hesabu,
Accounts User,Mtumiaji wa Akaunti,
Action,Hatua,
Action / Route,Hatua / Njia,
Action Timeout (Seconds),Action Timeout (Seconds),
Action Type,Aina ya Kitendo,
Actions,Vitendo,
Active,Active,
Active Domains,Domains Active,
Activity Log,Ingia ya Shughuli,
Add Container,Ongeza Chombo,
Add Custom Tags,Ongeza Lebo za Kimila,
Add Gray Background,Ongeza Asili ya Kijivu,
Add Signature,Ongeza Saini,
Add Total Row,Ongeza Jumla ya Row,
Add Unsubscribe Link,Ongeza Kiungo cha Kuondoa,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Aliongeza HTML katika sehemu ya &lt;kichwa&gt; ya ukurasa wa wavuti, hasa kutumika kwa uthibitishaji wa tovuti na SEO",
Additional Permissions,Vipengee vya ziada,
Address,Anwani,
Address And Contacts,Anwani na Anwani,
Address Line 1,Anwani ya Anwani 1,
Address Line 2,Anwani ya Anwani 2,
Address Template,Kigezo cha Anwani,
Address Title,Kichwa cha Anwani,
Address Type,Aina ya Anwani,
Address and other legal information you may want to put in the footer.,Anwani na habari zingine za kisheria ambazo unaweza kutaka kuziweka chini.,
Addresses And Contacts,Anwani na Mawasiliano,
Adds a custom field to a DocType,Inaongeza shamba la desturi kwa DocType,
Administrator,Msimamizi,
Advanced,Kikubwa,
Advanced Control,Udhibiti wa Juu,
Advanced Settings,Mipangilio ya hali ya juu,
After Cancel,Baada ya Kufuta,
After Delete,Baada ya Futa,
After Save,Baada ya Kuokoa,
After Save (Submitted Document),Baada ya Hifadhi (Hati Iliyotumwa),
After Submit,Baada ya Kuwasilisha,
Aggregate Function Based On,Kazi ya Aggregate Kulingana na,
Alert,Tahadhari,
Align Labels to the Right,Unganisha Lebo kwa Haki,
Align Right,Panga Haki,
All,ZOTE,
All Day,Siku nzima,
Allocated To,Iliyopewa,
Allot Points To Assigned Users,Pointi za Zote kwa Watumiaji waliotengwa,
Allow,Ruhusu,
Allow Auto Repeat,Ruhusu Kurudia Moja kwa Moja,
Allow Bulk Edit,Ruhusu Hariri wa Bulk,
Allow Comments,Ruhusu Maoni,
Allow Consecutive Login Attempts ,Ruhusu Majaribio ya Ingia ya Kuzingatia,
Allow Delete,Ruhusu Futa,
Allow Dropbox Access,Ruhusu Dropbox Upatikanaji,
Allow Guest,Ruhusu Mgeni,
Allow Guest to View,Ruhusu Mtazamo Kuangalia,
Allow Guests to Upload Files,Ruhusu Wageni Kupakia Faili,
Allow Import (via Data Import Tool),Ruhusu Kuingiza (kupitia Chombo cha Kuingiza Data),
Allow Incomplete Forms,Ruhusu Fomu zisizokwisha,
Allow Login After Fail,Ruhusu Ingia Baada ya Kushindwa,
Allow Login using Mobile Number,Ruhusu Ingia kwa kutumia Nambari ya Mkono,
Allow Login using User Name,Ruhusu Ingia kwa kutumia jina la mtumiaji,
Allow Modules,Ruhusu Moduli,
Allow Print,Ruhusu Print,
Allow Print for Cancelled,Ruhusu Chapisho kwa Kukimbia,
Allow Print for Draft,Ruhusu Chapisha kwa Rasimu,
Allow Read On All Link Options,Ruhusu Chagua Chaguo Zote za Kiungo,
Allow Rename,Ruhusu Kurejesha tena,
Allow Roles,Ruhusu Wajibu,
Allow Self Approval,Ruhusu kibali cha kibinafsi,
Allow approval for creator of the document,Ruhusu idhini kwa muumba wa waraka,
Allow document creation via Email,Ruhusu uundaji wa hati kupitia Barua pepe,
Allow events in timeline,Ruhusu matukio katika mstari wa wakati,
Allow in Quick Entry,Ruhusu Kuingia kwa haraka,
Allow on Submit,Ruhusu Kuwasilisha,
Allow only one session per user,Ruhusu kikao kimoja tu kwa mtumiaji,
Allow page break inside tables,Ruhusu mapumziko ya ukurasa ndani ya meza,
Allow saving if mandatory fields are not filled,Ruhusu kuokoa ikiwa mashamba ya lazima hayakujazwa,
Allow user to login only after this hour (0-24),Ruhusu mtumiaji kuingia tu baada ya saa hii (0-24),
Allow user to login only before this hour (0-24),Ruhusu mtumiaji kuingia tu kabla ya saa hii (0-24),
Allowed,Ruhusiwa,
Allowed In Mentions,Inaruhusiwa katika Maneno,
"Always add ""Draft"" Heading for printing draft documents",Daima uongeze kichwa cha &quot;Rasimu&quot; cha hati za uchapishaji,
Amend,Badilisha,
Amended From,Imebadilishwa Kutoka,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Faili ya icon na ugani wa .ico. Inapaswa kuwa 16 x 16 px. Inazalishwa kwa kutumia jenereta ya favicon. [favicon-generator.org],
Analytics,Analytics,
Annual,Kila mwaka,
Anonymous,Haijulikani,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,Lugha yoyote ya printa inayotegemea kamba inaweza kutumika. Kuandika amri mbichi inahitaji maarifa ya lugha ya asili ya printa iliyotolewa na mtengenezaji wa printa. Tafadhali rejelea mwongozo wa msanidi programu uliyopewa na mtengenezaji wa printa juu ya jinsi ya kuandika amri zao za asili. Amri hizi hutolewa kwa upande wa seva kwa kutumia Lugha ya Kugeuza ya Jinja.,
App,Programu,
App Access Key,Kitufe cha Upatikanaji wa App,
App Client ID,Kitambulisho cha Mteja wa App,
App Client Secret,Siri ya Mteja wa Programu,
App Name,Jina la App,
App Secret Key,Siri ya Programu ya Programu,
Append Emails to Sent Folder,Tuma barua pepe kwa folda iliyotumwa,
Append To,Pendekeza,
Applicable For,Inafaa Kwa,
Application Logo,Nembo ya Maombi,
Application Name,Jina la Maombi,
Application Version,Toleo la Maombi,
Applied On,Inatumika,
Apply Document Permissions,Tumia Ruhusa za Hati,
Apply Only Once,Omba Mara Moja tu,
Apply Strict User Permissions,Tumia Ruhusa ya Mtumiaji Mgumu,
Apply To All Document Types,Tuma ombi kwa Aina zote za Hati,
