"""Company History""","""Şirket Tarihçesi""",
"""Team Members"" or ""Management""","""Takım Üyeleri"" veya ""Yönetim""",
**Currency** Master,** Para ** Ana,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Taslak; 1 - Gönderildi; 2 - İptal Edildi,
0 is highest,0 en üsttedir,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Müşteri App kullanıcı izin verdiği sonra erişimi olacak kaynakların listesi. <br> örneğin, proje",
A symbol for this currency. For e.g. $,Bu para için bir sembol mesela $ için,
A4,A4,
ALL,Tümü,
API,API,
API Access,API Erişimi,
API Endpoint,API Endpoint,
API Endpoint Args,API Bitiş Noktası Args,
API Key,API Key,
API Method,API Yöntemi,
API Secret,API Gizli,
ASC,Azalan,
About,Hakkında,
About Us Settings,Hakkımızda Ayarları,
About Us Team Member,Ekip üyeleri hakkında,
Access Key ID,Erişim Tuşu Kimliği,
Access Key Secret,Access Key Secret,
Access Log,Erişim Günlüğü,
Access Token,Erişim Anahtarı,
Access Token URL,Erişim anahtarı URL'si,
Account,Hesap,
Account Deletion Settings,Hesap Silme Ayarları,
Accounts Manager,Hesap Yöneticisi,
Accounts User,Muhasebe Kullanıcısı,
Action,İşlem,
Action / Route,Eylem / Rota,
Action Timeout (Seconds),Eylem Zaman Aşımı (Saniye),
Action Type,Eylem Türü,
Actions,İşlemler,
Active,Aktif,
Active Domains,Aktif Etki Alanları,
Activity Log,Etkinlik Günlüğü,
Add Container,Kapsayıcı Ekle,
Add Custom Tags,Özel Etiket Ekle,
Add Gray Background,Gri Arkaplan Ekle,
Add Signature,İmza Ekle,
Add Total Row,Toplam satır ekle,
Add Unsubscribe Link,Aboneliğini Bağlantısı Ekle,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Web sayfasının  bölümüne, öncelikle web sitesi doğrulaması ve SEO için kullanılan HTML kodları eklendi",
Additional Permissions,Ek İzinler,
Address,Adres,
Address And Contacts,Adres ve Kişiler,
Address Line 1,Adres Satırı 1,
Address Line 2,Adres Satırı 2,
Address Template,Adres Şablonu,
Address Title,Adres Başlığı,
Address Type,Adres Tipi,
Address and other legal information you may want to put in the footer.,Adres ve diğer yasal bilgileri altbilgi kısmına koyabilirsiniz,
Addresses And Contacts,İrtibatlar ve Adresler,
Adds a custom field to a DocType,Bir DocType için özel bir alan ekler,
Administrator,Yönetici,
Advanced,Gelişmiş,
Advanced Control,Gelişmiş Kontrol,
Advanced Settings,Gelişmiş Ayarlar,
After Cancel,İptal Sonrası,
After Delete,Sildikten Sonra,
After Save,Kaydettikten Sonra,
After Save (Submitted Document),Kaydettikten Sonra (Gönderilen Belge),
After Submit,Gönderdikten Sonra,
Aggregate Function Based On,Toplama İşlevi,
Alert,Uyar,
Align Labels to the Right,Etiketleri Sağa hizalayın,
Align Right,Sağa Hizala,
All,Tümü,
All Day,Tüm Gün,
Allocated To,Atanan,
Allot Points To Assigned Users,Atanan Kullanıcılara Tahsis Noktaları,
Allow,İzin ver,
Allow Auto Repeat,Otomatik Tekrarlamaya İzin Ver,
Allow Bulk Edit,Toplu düzenlemeye izin ver,
Allow Comments,Yorumlara izin ver,
Allow Consecutive Login Attempts ,Ardışık Giriş Denemelerine İzin Ver,
Allow Delete,Silmeye izin ver,
Allow Dropbox Access,Dropbox erişimine izin ver,
Allow Guest,Konuklara İzin Ver,
Allow Guest to View,Misafirin görüntülemesine izin ver,
Allow Guests to Upload Files,Konukların Dosya Yüklemesine İzin Ver,
Allow Import (via Data Import Tool),İçe aktarıma izin ver (Veri Alma Aracı ile),
Allow Incomplete Forms,Eksik Formlara izin ver,
Allow Login After Fail,Başarısız Olduğunda Oturum Açmaya İzin Ver,
Allow Login using Mobile Number,Mobil Numarayı Kullanarak Girişe İzin Ver,
Allow Login using User Name,Kullanıcı Adını Kullanarak Girişe İzin Ver,
Allow Modules,Modüllere İzin Ver,
Allow Print,Yazdırmaya izin ver,
Allow Print for Cancelled,İptal edilenlerin yazdırılmasına izin ver,
Allow Print for Draft,Taslakların yazdırılmasına izin ver,
Allow Read On All Link Options,Tüm Bağlantı Seçeneklerinde Okumaya İzin Ver,
Allow Rename,Yeniden adlandırmaya izin ver,
Allow Roles,Rollere izin ver,
Allow Self Approval,Kendi Onayına İzin Ver,
Allow approval for creator of the document,Belgenin yaratıcısı için onay ver,
Allow document creation via Email,E-posta yoluyla belge oluşturmaya izin ver,
Allow events in timeline,Zaman çizelgesindeki etkinliklere izin ver,
Allow in Quick Entry,Hızlı Giriş'e İzin Ver,
Allow on Submit,Gönderme Onayı İzni,
Allow only one session per user,Kullanıcı başına yalnızca bir oturuma izin ver,
Allow page break inside tables,Tablo içerisinde sayfa sonlarına izin ver,
Allow saving if mandatory fields are not filled,Zorunlu alanlar doldurulmamışsa da kaydetmeye izin ver,
Allow user to login only after this hour (0-24),Kullanıcının sadece bu saatten sonra giriş yapmasına izin ver (0-24),
Allow user to login only before this hour (0-24),Kullanıcı sadece bu saatten önce giriş yapmasına izin ver (0-24),
Allowed,İzin verildi,
Allowed In Mentions,Yorumlarda İzin Verildi,
"Always add ""Draft"" Heading for printing draft documents","Taslak belgeleri yazdırırken her zaman ""Taslak"" başlığını ekle",
Amend,Değiştir,
Amended From,İtibaren değiştirilmiş,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],.ico Uzantılı bir simge dosyası. 16 x 16 px olmalıdır. Bir favicon jeneratörü kullanılarak oluşturulan. [favicon-generator.org],
Analytics,Analitikler,
Annual,Yıllık,
Anonymous,Anonim,
