"""Company History""",&quot;Історія компанії&quot;,
"""Team Members"" or ""Management""",&quot;Члени команди&quot; або &quot;Управління&quot;,
&lt;head&gt; HTML,&lt;HEAD&gt; HTML-,
**Currency** Master,**Валютний** Мастер,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Чернетка; 1 - Проведено; 2 - Відмінено,
0 is highest,0 є найвищим,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Список ресурсів, які Клієнт App матиме доступ до після того, як користувач дозволяє. <br> наприклад, проект",
A symbol for this currency. For e.g. $,"Символ цієї валюти. Наприклад, ₴",
A4,A4,
ALL,ВСІ,
API,API,
API Access,Доступ до API,
API Endpoint,Кінцева точка API,
API Endpoint Args,API кінцевої точки Args,
API Key,ключ API,
API Method,Метод API,
API Secret,API Секретний,
ASC,ASC,
About Us Settings,"Налаштування ""Про нас""",
About Us Team Member,Про нас Команда Член,
Access Key ID,Ідентифікатор ключа доступу,
Access Key Secret,Ключовий секрет доступу,
Access Log,Журнал доступу,
Access Token,Маркер доступу,
Access Token URL,URL Токена доступу,
Account,Рахунок,
Accounts Manager,Диспетчер облікових записів,
Accounts User,Облікові записи користувачів,
Action,Дія,
Action / Route,Дія / Маршрут,
Action Timeout (Seconds),Тайм-аут дії (секунди),
Action Type,Тип дії,
Actions,Заходи,
Active,Активний,
Active Domains,активні домени,
Activity Log,Журнал активності,
Add Container,Додати контейнер,
Add Custom Tags,Додайте власні теги,
Add Gray Background,Додайте сірий фон,
Add Signature,Додати підпис,
Add Total Row,Додати загальний підсумок,
Add Unsubscribe Link,Додати посилання Відмовитися,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Додана HTML в &lt;HEAD&gt; частина веб-сторінки, в основному використовується для перевірки веб-сайтів та SEO",
Additional Permissions,Додаткові права,
Address,Адреса,
Address And Contacts,Адреса та контакти,
Address Line 1,Адресний рядок 1,
Address Line 2,Адресний рядок 2,
Address Template,Шаблон адреси,
Address Title,Назва адреси,
Address Type,Тип адреси,
Address and other legal information you may want to put in the footer.,"Адреса та інша офіційна інформація, яку Ви можливо хотіли би поставити в підвалі.",
Addresses And Contacts,Адреси та контакти,
Adds a custom field to a DocType,Додає користувальницьке поле в DocType,
Administrator,Адміністратор,
Advanced,Передовий,
Advanced Control,Розширений контроль,
Advanced Settings,Розширені налаштування,
After Cancel,Після Скасувати,
After Delete,Після видалення,
After Save,Після збереження,
After Save (Submitted Document),Після збереження (поданий документ),
After Submit,Після подання,
Aggregate Function Based On,Функція сукупності на основі,
Alert,Сповіщення,
Align Labels to the Right,Вирівняти ярлики праворуч,
Align Right,Вирівняти вправо,
All,ВСІ,
All Day,Весь день,
Allocated To,Виділяються на,
Allot Points To Assigned Users,Виділити бали призначеним користувачам,
Allow,Дозволити,
Allow Auto Repeat,Дозволити автоматичне повторення,
Allow Bulk Edit,Дозволити Масове зміна,
Allow Comments,Дозволити коментарі,
Allow Consecutive Login Attempts ,Дозволити послідовні вхідні спроби,
Allow Delete,Дозволити видалення,
Allow Dropbox Access,Дозволити доступ Dropbox,
Allow Guest,Дозволити гостям,
Allow Guest to View,"Дозволити для гостей, щоб подивитися",
Allow Guests to Upload Files,Дозволити гостям завантажувати файли,
Allow Import (via Data Import Tool),Дозволити імпорт (за допомогою інструменту імпорту даних),
Allow Incomplete Forms,Дозволити Неповні форми,
Allow Login After Fail,Дозволити вхід після помилки,
Allow Login using Mobile Number,Дозволити Увійти за допомогою номера мобільного,
Allow Login using User Name,Дозволити вхід за допомогою імені користувача,
Allow Modules,Дозволити модулі,
Allow Print,дозволити друк,
Allow Print for Cancelled,Дозволити друк для Скасовано,
Allow Print for Draft,Дозволити друк чернеток,
Allow Read On All Link Options,Дозволити прочитати всі параметри посилання,
Allow Rename,Дозволити Перейменувати,
Allow Roles,дозволити ролі,
Allow Self Approval,Дозволити самоврядування,
Allow approval for creator of the document,Дозволити схвалення для автора документа,
Allow document creation via Email,Дозволити створення документів електронною поштою,
Allow events in timeline,Дозволити події на часовій шкалі,
Allow in Quick Entry,Дозволити в &quot;Швидкому вході&quot;,
Allow on Submit,Дозволити на Надіслати,
Allow only one session per user,Дозволити лише один сеанс для кожного користувача,
Allow page break inside tables,Дозволити розрив сторінки всередині таблиць,
Allow saving if mandatory fields are not filled,"Надати дозвіл на, якщо обов&#39;язкові поля не заповнено",
Allow user to login only after this hour (0-24),Дозволити користувачеві увійти в систему тільки після цієї години (0-24),
Allow user to login only before this hour (0-24),Дозволити користувачеві увійти в систему тільки до цієї години (0-24),
Allowed,Дозволено,
Allowed In Mentions,Дозволено в згадках,
"Always add ""Draft"" Heading for printing draft documents","Завжди додавайте заголовок ""Чернетка"" при друці проектів документів",
Amend,Відновити,
Amended From,Відновлено з,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Значок файлу з розширенням .ico розширенням. Повинно бути 16 х 16 пікселів. Генерується з використанням генератора FavIcon. [favicon-generator.org],
Analytics,Аналітика,
Annual,Річний,
Anonymous,Анонімний,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Можна використовувати будь-які мови на основі струнного принтера. Написання необроблених команд вимагає знання рідної мови принтера, наданого виробником принтера. Зверніться до посібника для розробників, наданого виробником принтера щодо того, як писати рідні команди. Ці команди надаються на стороні сервера за допомогою мови шаблонів Jinja.",
App,додаток,
App Access Key,App Ключ доступу,
App Client ID,App ID клієнта,
App Client Secret,App Client Secret,
App Name,Ім&#39;я програми,
App Secret Key,App Secret Key,
Append Emails to Sent Folder,Додайте електронні листи до надісланої папки,
Append To,Додати до,
Applicable For,Стосується для,
Application Logo,Логотип програми,
Application Name,Назва програми,
Application Version,Версія програми,
Applied On,Застосовано,
Apply Document Permissions,Застосувати дозволи на документ,
Apply Only Once,Застосовувати лише один раз,
Apply Strict User Permissions,Застосувати Суворі дозволів користувача,
Apply To All Document Types,Застосувати до всіх типів документів,
Apply this rule if the User is the Owner,"Застосувати це правило, якщо Користувач є власником",
Apply this rule only once per document,Застосовуйте це правило лише один раз для кожного документа,
Appreciation,Вдячність,
Archived,Читальний зал,
Arial,Arial,
Assign Condition,Призначте умову,
Assign To Users,Призначити користувачам,
Assigned,призначений,
Assigned By,Присвоєний,
Assigned By Full Name,Присвоюється Повне ім&#39;я,
Assignment,призначення,
Assignment Completed,Призначення завершено,
Assignment Days,Дні призначення,
Assignment Rule,Правило призначення,
