 to your browser,到你的浏览器,
"""Company History""",“公司歷史”,
"""Parent"" signifies the parent table in which this row must be added",“父項”表示在該行必須增加父表,
"""Team Members"" or ""Management""",“團隊成員”或“管理”,
"""amended_from"" field must be present to do an amendment.",必须出现“modified_from”字段才能进行修改。,
"""{0}"" is not a valid Google Sheets URL",“ {0}”不是有效的Google表格网址,
&lt;head&gt; HTML,&lt;HEAD&gt; HTML,
'In Global Search' not allowed for type {0} in row {1},在行 {1} 中不允許類型 {0} 的全域搜索中,
'In List View' not allowed for type {0} in row {1},“在列表視圖中”第{1}行的類型{0}不允許,
'Recipients' not specified,&#39;收件人&#39;未指定,
'{0}' not allowed for type {1} in row {2},第{2}行的类型{1}不允许使用&#39;{0}&#39;,
(Mandatory),（必须）,
** Failed: {0} to {1}: {2},**失敗：{0}到 {1}：{2},
**Currency** Master,** 主要貨幣 **,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - 草案; 1 - 已呈交; 2 - 已取消,
0 is highest,0是最高的,
1 Day,1天,
1 Google Calendar Event synced.,1个Google日历活动已同步。,
1 Report,1份报告,
1 comment,1條評論,
1 hour,1小时,
1 hour ago,1小時前,
1 minute ago,1分鐘前,
1 month ago,1個月前,
1 record will be exported,将导出一笔记录,
1 week ago,一周前,
1 year ago,1年以前,
30 minutes,半小时,
4 hours,4小时,
5 Records,5笔记录,
; not allowed in condition,; 條件下不允許,
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">请不要直接更新这个表单里的内容，可能会导致系统瘫痪！请使用定制表单和自定义字段功能让系统自动产生此表单的数据!</div>",
