"""Company History""",“公司历史”,
"""Team Members"" or ""Management""",“团队成员”或“管理”,
&lt;head&gt; HTML,&lt;HEAD&gt; HTML,
**Currency** Master,** 货币**管理,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - 草稿; 1 - 已提交; 2 - 已取消,
0 is highest,0是最高的,
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">请不要直接更新这个表单里的内容，可能会导致系统瘫痪！请使用定制表单和自定义字段功能让系统自动产生此表单的数据!</div>",
"<h5>Message Example</h5>

<pre>&lt;h3&gt;Order Overdue&lt;/h3&gt;

&lt;p&gt;Transaction {{ doc.name }} has exceeded Due Date. Please take necessary action.&lt;/p&gt;

&lt;!-- show last comment --&gt;
{% if comments %}
Last comment: {{ comments[-1].comment }} by {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;Details&lt;/h4&gt;

&lt;ul&gt;
&lt;li&gt;Customer: {{ doc.customer }}
&lt;li&gt;Amount: {{ doc.grand_total }}
&lt;/ul&gt;
</pre>","<h5>消息范例</h5>

<pre>&lt;h3&gt;订单逾期&lt;/h3&gt;

&lt;p&gt;交易 {{ doc.name }} 已逾期. 请采取必要行动.&lt;/p&gt;

&lt;!-- 显示最新备注信息 --&gt;
{% if comments %}
最新备注: {{ comments[-1].comment }}  {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;详情&lt;/h4&gt;

&lt;ul&gt;
&lt;li&gt;客户: {{ doc.customer }}
&lt;li&gt;金额: {{ doc.grand_total }}
&lt;/ul&gt;
</pre>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>
","<p><strong>条件范例:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>",
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,资源的列表，它的客户端应用程序必须将用户允许后访问。 <br>如项目,
A symbol for this currency. For e.g. $,货币符号。例如$,
A4,A4,
ALL,所有,
API,API,
API Access,API访问,
API Endpoint,API端点,
API Endpoint Args,API端点参数,
API Key,API密钥,
API Key cannot be regenerated,无法重新生成API密钥,
API Method,API方法,
API Secret,API密码,
ASC,升序,
About,关于,
About Us Settings,关于我们设置,
About Us Team Member,关于我们 团队成员,
Access Key ID,访问密钥ID,
Access Key Secret,访问密钥秘密,
Access Log,访问记录,
Access Token,访问令牌,
Access Token URL,访问令牌URL,
Account,科目,
Account Deletion Settings,账号删除设置,
Accounts Manager,会计经理,
Accounts User,会计,
Action,操作,
Action / Route,操作 / 网址路径,
Action Timeout (Seconds),操作超时（秒）,
Action Type,操作类型,
Actions,操作,
Active,激活,
Active Domains,已启用的行业,
Activity Log,用户操作日志,
Add Container,添加容器,
Add Custom Tags,添加自定义标签,
Add Gray Background,添加灰色背景,
Add Signature,添加签名,
Add Total Row,添加总计行,
Add Unsubscribe Link,添加退订链接,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",在&lt;head&gt;在头部分区已添加HTML网页，主要用于网站的验证和搜索引擎优化,
Additional Permissions,额外权限,
Address,地址,
Address And Contacts,地址与联系人,
Address Line 1,详细地址1,
Address Line 2,详细地址2,
Address Template,地址模板,
Address Title,地址名称,
Address Type,地址类型,
Address and other legal information you may want to put in the footer.,地址和其他法律信息最好放进页脚。,
Addresses And Contacts,地址和联系方式,
Adds a custom field to a DocType,为单据类型添加一个自定义字段,
Administrator,管理员,
Advanced,高级,
Advanced Control,高级控制,
Advanced Settings,高级设置,
After Cancel,取消后,
After Delete,删除后,
After Insert,创建后,
After Save,保存后,
After Save (Submitted Document),保存后(已提交),
After Submit,提交后,
Aggregate Function Based On,统计字段,
Alert,警报,
Align Labels to the Right,标签右对齐,
Align Right,右对齐,
All,全部,
All Day,全天,
